member_id,join_date,cancel_date,plan,age,gender,referred_by
M0112,2024-06-10,2024-09-22,1개월,39,남,M0046
M0113,2024-02-03,,1개월,60,여,
M0114,2024-03-09,,12개월,49,여,
M0115,2024-03-12,2024-06-22,12개월,32,남,
M0116,2024-03-04,,6개월,47,남,
M0117,2024-03-24,,12개월,28,남,
M0118,2024-05-21,,6개월,26,여,
M0119,2024-10-19,,12개월,59,여,
M0120,2024-02-08,,1개월,58,여,
M0121,2024-03-16,,6개월,27,여,
M0122,2024-03-04,,12개월,49,여,
M0123,2024-05-18,,12개월,25,남,
M0124,2024-02-26,,6개월,43,남,
M0125,2024-02-15,,12개월,24,여,M0012
M0126,2024-08-22,2024-12-05,6개월,36,남,
M0127,2024-09-07,2024-12-12,12개월,38,여,
M0128,2024-05-01,2024-11-10,6개월,39,여,
M0129,2024-04-19,,6개월,24,여,M0016
M0130,2024-08-02,,12개월,35,여,
M0131,2024-07-03,,6개월,25,남,
M0132,2024-08-14,,6개월,64,남,
M0133,2024-02-24,,12개월,53,여,
M0134,2024-01-04,,6개월,35,여,
M0135,2024-03-21,2024-07-15,6개월,59,남,
M0136,2024-09-18,,1개월,43,여,
M0137,2024-07-18,,6개월,21,남,
M0138,2024-03-15,2024-05-23,12개월,30,여,
M0139,2024-05-27,,12개월,27,남,
M0140,2024-03-07,,1개월,36,여,M0017
M0141,2024-01-02,,12개월,28,남,M0051
M0142,2024-06-03,2024-12-08,12개월,26,여,
M0143,2024-01-09,2024-10-05,1개월,43,남,
M0144,2024-02-24,,1개월,46,여,M0020
M0145,2024-07-08,2024-12-08,6개월,27,여,
M0146,2024-03-20,2024-10-14,12개월,20,남,
M0147,2024-03-11,,12개월,53,남,
M0148,2024-07-13,,1개월,58,여,
M0149,2024-04-07,,6개월,27,남,
M0150,2024-06-22,2024-10-08,1개월,57,여,
M0151,2024-02-04,,1개월,33,남,
M0152,2024-01-20,2024-06-24,12개월,61,여,
M0153,2024-03-25,2024-08-05,6개월,41,여,
M0154,2024-05-24,2024-11-02,6개월,41,여,M0051
M0155,2024-08-09,,6개월,54,여,
M0156,2024-02-09,2024-08-03,6개월,27,남,
M0157,2024-01-24,,6개월,48,여,
M0158,2024-08-21,,1개월,56,여,
M0159,2024-07-20,2024-12-14,6개월,60,여,
M0160,2024-04-21,,1개월,19,남,
M0161,2024-07-05,2024-11-18,1개월,26,남,
M0162,2024-05-07,,12개월,39,남,
M0163,2024-01-03,,6개월,55,여,
M0164,2024-01-16,,1개월,28,여,
M0165,2024-07-17,,12개월,52,남,M0028
M0166,2024-04-18,2024-08-01,6개월,41,여,
M0167,2024-05-07,,6개월,47,남,
M0168,2024-02-01,2024-07-18,6개월,40,여,
M0169,2024-10-04,,12개월,27,남,M0033
M0170,2024-01-06,,1개월,47,여,
M0171,2024-01-24,,12개월,47,여,
M0172,2024-03-05,,6개월,38,남,
M0173,2024-08-04,,6개월,26,남,
M0174,2024-01-25,,12개월,42,남,
M0175,2024-01-12,,1개월,35,여,M0056
M0176,2024-01-02,2024-06-03,12개월,43,남,
M0177,2024-02-09,2024-06-04,6개월,22,여,M0057
M0178,2024-05-06,2024-12-17,6개월,43,남,
M0179,2024-09-15,,1개월,63,남,
M0180,2024-07-21,,6개월,56,남,
M0181,2024-08-16,,1개월,45,남,
M0182,2024-07-08,2024-12-01,1개월,31,여,
M0183,2024-01-13,2024-08-16,12개월,31,남,
M0184,2024-05-12,2024-10-18,1개월,37,남,
M0185,2024-02-23,,12개월,50,여,
M0186,2024-07-17,2024-11-06,1개월,56,남,
M0187,2024-03-21,,1개월,21,여,
M0188,2024-06-25,,6개월,24,여,
M0189,2024-02-20,2024-11-01,12개월,40,남,
M0190,2024-09-23,,12개월,26,여,M0035
M0191,2024-10-11,,6개월,21,남,
M0192,2024-01-14,,6개월,47,여,
M0193,2024-07-12,2024-10-04,12개월,29,여,
M0194,2024-04-03,,1개월,49,남,
M0195,2024-03-13,,6개월,59,여,M0008
M0196,2024-07-13,,6개월,23,남,
M0197,2024-09-04,,6개월,29,남,
M0198,2024-06-23,,1개월,28,여,
M0199,2024-01-22,2024-06-27,6개월,48,여,
M0200,2024-04-24,,6개월,19,여,M0012
M0201,2024-01-06,,12개월,64,여,
M0202,2024-03-17,,12개월,53,남,
M0203,2024-01-17,,1개월,25,남,M0054
M0204,2024-03-08,2024-06-23,12개월,44,여,M0028
M0205,2024-09-15,,6개월,64,남,
M0206,2024-06-02,2024-12-24,12개월,23,남,M0023
M0207,2024-04-05,,12개월,42,남,
M0208,2024-07-03,,1개월,19,남,
M0209,2024-08-19,,6개월,33,여,
M0210,2024-07-10,,1개월,46,남,
M0211,2024-08-05,,6개월,24,남,
M0212,2024-01-19,2024-05-23,12개월,21,남,
M0213,2024-06-18,2024-12-20,12개월,36,남,
M0214,2024-02-14,,1개월,42,남,
M0215,2024-02-11,,12개월,60,여,
M0216,2024-01-20,,6개월,34,남,
M0217,2024-01-01,,6개월,52,남,
M0218,2024-02-11,2024-04-08,1개월,39,여,
M0219,2024-10-10,2024-12-18,12개월,45,여,
M0220,2024-04-18,,12개월,40,남,
M0221,2024-03-09,2024-12-07,6개월,27,남,
M0222,2024-03-08,2024-05-25,12개월,46,여,
M0223,2024-09-19,,1개월,42,여,
M0224,2024-01-15,2024-03-27,1개월,34,남,M0010
M0225,2024-09-02,,1개월,61,남,
M0226,2024-02-27,,12개월,27,여,
M0227,2024-02-13,2024-07-26,6개월,56,남,
M0228,2024-01-03,,6개월,51,여,
M0229,2024-06-07,,1개월,56,여,
M0230,2024-01-22,,1개월,45,남,
M0231,2024-07-16,2024-12-09,6개월,43,여,
M0232,2024-02-12,,1개월,45,여,
M0233,2024-02-09,,6개월,57,여,M0036
M0234,2024-01-18,,12개월,22,남,
M0235,2024-08-06,2024-12-27,6개월,57,남,M0043
M0236,2024-10-09,,1개월,28,남,
M0237,2024-02-09,,1개월,22,남,M0056
M0238,2024-01-23,,12개월,44,여,
M0239,2024-03-25,,6개월,37,여,
M0240,2024-02-20,,1개월,33,남,
M0241,2024-07-23,2024-11-08,12개월,60,남,
M0242,2024-02-18,,6개월,61,남,
M0243,2024-10-10,2024-12-10,1개월,60,여,
M0244,2024-10-03,,12개월,62,여,
M0245,2024-03-09,2024-12-07,1개월,25,남,M0026
M0246,2024-08-13,,6개월,42,여,
M0247,2024-02-12,,12개월,45,여,
M0248,2024-06-10,,6개월,54,여,
M0249,2024-03-04,,6개월,53,여,
M0250,2024-01-18,,1개월,64,남,M0019
M0251,2024-05-17,,6개월,20,여,
M0252,2024-03-17,,12개월,62,여,
M0253,2024-06-24,,12개월,20,남,
M0254,2024-02-05,,6개월,58,여,
M0255,2024-05-13,,6개월,29,남,
M0256,2024-06-07,2024-11-05,12개월,35,남,
M0257,2024-03-13,,6개월,23,여,M0010
M0258,2024-10-15,2024-12-22,12개월,30,남,
M0259,2024-03-01,,6개월,20,남,
M0260,2024-06-06,2024-12-01,1개월,44,여,
M0261,2024-01-19,2024-04-13,6개월,37,여,
M0262,2024-02-21,2024-08-12,6개월,30,남,M0027
M0263,2024-03-16,,6개월,25,남,
M0264,2024-02-08,2024-04-16,6개월,54,여,
M0265,2024-01-16,,12개월,58,여,M0005
M0266,2024-02-20,,6개월,25,여,
M0267,2024-08-13,,12개월,32,여,M0027
M0268,2024-01-07,2024-06-10,12개월,43,남,
M0269,2024-02-27,,1개월,57,남,M0026
M0270,2024-03-09,,6개월,50,남,
M0271,2024-06-27,,6개월,19,여,
M0272,2024-01-12,2024-07-06,1개월,42,남,
M0273,2024-10-20,2024-12-18,1개월,31,남,
M0274,2024-10-17,,1개월,58,남,
M0275,2024-05-03,2024-12-14,12개월,48,남,
M0276,2024-01-23,,12개월,25,여,
M0277,2024-01-21,,6개월,19,여,M0026
M0278,2024-06-12,,1개월,58,여,
M0279,2024-06-13,,6개월,57,남,M0042
M0280,2024-08-07,2024-12-25,1개월,56,여,
M0281,2024-02-20,,1개월,55,남,M0013
M0282,2024-02-09,,1개월,31,남,
M0283,2024-01-09,,6개월,39,남,
M0284,2024-03-07,,6개월,61,남,
M0285,2024-01-25,,6개월,62,남,
M0286,2024-04-27,2024-06-06,6개월,58,여,
M0287,2024-06-16,,12개월,61,여,
M0288,2024-04-12,,1개월,59,여,
M0289,2024-02-27,,6개월,44,여,
M0290,2024-07-26,,6개월,54,남,
M0291,2024-07-11,,1개월,19,여,
M0292,2024-10-25,,12개월,53,여,
M0293,2024-06-21,,6개월,39,남,
M0294,2024-09-17,,1개월,22,남,
M0295,2024-01-05,,12개월,21,남,
M0296,2024-02-01,,12개월,23,여,
M0297,2024-04-16,,12개월,24,여,
M0298,2024-04-09,,12개월,60,여,
M0299,2024-03-15,2024-12-16,6개월,57,여,
M0300,2024-09-04,,12개월,34,여,M0022
