book_id,title,category,publisher,price,page_count,currency
B0040,도서 040,과학,마출판사,17000,612,KRW
B0041,도서 041,소설,사출판사,27000,383,KRW
B0042,도서 042,여행,파출판사,22000,408,KRW
B0043,도서 043,과학,자출판사,44000,372,KRW
B0044,도서 044,여행,바출판사,10000,205,KRW
B0045,도서 045,자기계발,다출판사,27000,441,KRW
B0046,도서 046,과학,마출판사,37000,134,KRW
B0047,도서 047,소설,거출판사,42000,502,KRW
B0048,도서 048,과학,아출판사,11000,399,KRW
B0049,도서 049,인문,마출판사,36000,375,KRW
B0050,도서 050,여행,바출판사,17000,482,KRW
B0051,도서 051,자기계발,거출판사,9000,247,KRW
B0052,도서 052,여행,타출판사,35000,632,KRW
B0053,도서 053,여행,아출판사,9000,546,KRW
B0054,도서 054,경제경영,파출판사,18000,646,KRW
B0055,도서 055,경제경영,가출판사,14000,527,KRW
B0056,도서 056,여행,라출판사,15000,660,KRW
B0057,도서 057,경제경영,바출판사,42000,473,KRW
B0058,도서 058,과학,파출판사,33000,131,KRW
B0059,도서 059,과학,아출판사,20000,126,KRW
B0060,도서 060,과학,라출판사,37000,493,KRW
B0061,도서 061,과학,다출판사,32000,569,KRW
B0062,도서 062,자기계발,거출판사,26000,531,KRW
B0063,도서 063,여행,사출판사,28000,295,KRW
B0064,도서 064,자기계발,가출판사,18000,488,KRW
B0065,도서 065,과학,카출판사,25000,688,KRW
B0066,도서 066,자기계발,차출판사,30000,209,KRW
B0067,도서 067,과학,카출판사,35000,390,KRW
B0068,도서 068,여행,자출판사,36000,259,KRW
B0069,도서 069,여행,타출판사,25000,164,KRW
B0070,도서 070,여행,차출판사,26000,441,KRW
B0071,도서 071,과학,카출판사,42000,639,KRW
B0072,도서 072,자기계발,마출판사,29000,673,KRW
B0073,도서 073,자기계발,아출판사,11000,307,KRW
B0074,도서 074,여행,자출판사,34000,126,KRW
B0075,도서 075,인문,타출판사,18000,234,KRW
B0076,도서 076,과학,사출판사,9000,246,KRW
B0077,도서 077,경제경영,가출판사,14000,532,KRW
B0078,도서 078,자기계발,바출판사,16000,621,KRW
B0079,도서 079,경제경영,다출판사,25000,677,KRW
B0080,도서 080,인문,아출판사,16000,573,KRW
B0081,도서 081,과학,자출판사,31000,593,KRW
B0082,도서 082,여행,다출판사,23000,308,KRW
B0083,도서 083,인문,아출판사,20000,464,KRW
B0084,도서 084,여행,마출판사,31000,338,KRW
B0085,도서 085,소설,거출판사,39000,242,KRW
B0086,도서 086,소설,차출판사,21000,204,KRW
B0087,도서 087,자기계발,하출판사,22000,449,KRW
B0088,도서 088,과학,사출판사,43000,268,KRW
B0089,도서 089,여행,차출판사,44000,304,KRW
B0090,도서 090,인문,하출판사,33000,307,KRW
B0091,도서 091,경제경영,타출판사,35000,335,KRW
B0092,도서 092,자기계발,바출판사,18000,529,KRW
B0093,도서 093,소설,하출판사,15000,473,KRW
B0094,도서 094,여행,마출판사,29000,536,KRW
B0095,도서 095,여행,라출판사,9000,173,KRW
B0096,도서 096,인문,자출판사,34000,531,KRW
B0097,도서 097,여행,하출판사,38000,673,KRW
B0098,도서 098,자기계발,타출판사,26000,537,KRW
B0099,도서 099,과학,마출판사,18000,181,KRW
B0100,도서 100,과학,사출판사,15000,408,KRW
B0101,도서 101,자기계발,하출판사,31000,496,KRW
B0102,도서 102,여행,차출판사,39000,485,KRW
B0103,도서 103,과학,하출판사,13000,511,KRW
B0104,도서 104,인문,다출판사,40000,491,KRW
B0105,도서 105,소설,카출판사,34000,394,KRW
B0106,도서 106,소설,자출판사,21000,367,KRW
B0107,도서 107,인문,아출판사,31000,403,KRW
B0108,도서 108,경제경영,차출판사,31000,291,KRW
B0109,도서 109,자기계발,다출판사,11000,319,KRW
B0110,도서 110,경제경영,거출판사,15000,526,KRW
B0111,도서 111,여행,차출판사,19000,195,KRW
B0112,도서 112,자기계발,거출판사,33000,629,KRW
B0113,도서 113,여행,가출판사,40000,513,KRW
B0114,도서 114,여행,아출판사,36000,658,KRW
B0115,도서 115,경제경영,나출판사,9000,238,KRW
B0116,도서 116,과학,자출판사,44000,650,KRW
B0117,도서 117,경제경영,나출판사,25000,297,KRW
B0118,도서 118,여행,마출판사,26000,422,KRW
B0119,도서 119,과학,라출판사,36000,132,KRW
B0120,도서 120,인문,라출판사,38000,401,KRW
B0121,도서 121,소설,바출판사,15000,344,KRW
B0122,도서 122,과학,나출판사,12000,155,KRW
B0123,도서 123,인문,사출판사,41000,343,KRW
B0124,도서 124,여행,거출판사,19000,391,KRW
B0125,도서 125,자기계발,다출판사,37000,424,KRW
B0126,도서 126,인문,나출판사,28000,225,KRW
B0127,도서 127,인문,파출판사,16000,515,KRW
B0128,도서 128,자기계발,자출판사,30000,418,KRW
B0129,도서 129,여행,마출판사,38000,455,KRW
B0130,도서 130,여행,자출판사,37000,444,KRW
B0131,도서 131,여행,나출판사,16000,240,KRW
B0132,도서 132,과학,사출판사,34000,338,KRW
B0133,도서 133,여행,라출판사,9000,347,KRW
B0134,도서 134,과학,가출판사,29000,257,KRW
B0135,도서 135,인문,바출판사,27000,122,KRW
B0136,도서 136,자기계발,라출판사,41000,447,KRW
B0137,도서 137,자기계발,사출판사,18000,179,KRW
B0138,도서 138,경제경영,사출판사,40000,265,KRW
B0139,도서 139,여행,파출판사,20000,140,KRW
B0140,도서 140,인문,바출판사,28000,439,KRW
B0141,도서 141,인문,차출판사,13000,306,KRW
B0142,도서 142,여행,나출판사,43000,260,KRW
B0143,도서 143,과학,하출판사,24000,421,KRW
B0144,도서 144,과학,차출판사,19000,407,KRW
B0145,도서 145,자기계발,하출판사,40000,365,KRW
B0146,도서 146,소설,자출판사,24000,481,KRW
B0147,도서 147,인문,자출판사,43000,422,KRW
B0148,도서 148,과학,나출판사,19000,691,KRW
B0149,도서 149,자기계발,타출판사,44000,327,KRW
B0150,도서 150,여행,라출판사,15000,519,KRW
B0151,도서 151,과학,차출판사,12000,331,KRW
B0152,도서 152,여행,라출판사,37000,204,KRW
B0153,도서 153,경제경영,타출판사,20000,200,KRW
B0154,도서 154,인문,바출판사,28000,390,KRW
B0155,도서 155,인문,가출판사,41000,599,KRW
B0156,도서 156,인문,파출판사,35000,266,KRW
B0157,도서 157,경제경영,나출판사,37000,309,KRW
B0158,도서 158,소설,나출판사,26000,349,KRW
B0159,도서 159,인문,거출판사,17000,683,KRW
B0160,도서 160,여행,카출판사,33000,233,KRW
B0161,도서 161,여행,타출판사,30000,247,KRW
B0162,도서 162,여행,라출판사,27000,291,KRW
B0163,도서 163,자기계발,하출판사,29000,223,KRW
B0164,도서 164,여행,거출판사,31000,245,KRW
B0165,도서 165,인문,타출판사,36000,513,KRW
B0166,도서 166,경제경영,사출판사,43000,146,KRW
B0167,도서 167,소설,하출판사,24000,276,KRW
B0168,도서 168,과학,사출판사,27000,294,KRW
B0169,도서 169,인문,마출판사,24000,598,KRW
B0170,도서 170,소설,거출판사,34000,446,KRW
B0171,도서 171,인문,나출판사,35000,432,KRW
B0172,도서 172,과학,나출판사,42000,219,KRW
B0173,도서 173,인문,거출판사,31000,423,KRW
B0174,도서 174,여행,파출판사,31000,618,KRW
B0175,도서 175,여행,바출판사,12000,177,KRW
B0176,도서 176,자기계발,파출판사,38000,667,KRW
B0177,도서 177,경제경영,파출판사,24000,209,KRW
B0178,도서 178,과학,자출판사,11000,311,KRW
B0179,도서 179,자기계발,사출판사,33000,562,KRW
B0180,도서 180,경제경영,라출판사,29000,654,KRW
B0181,도서 181,자기계발,파출판사,30000,442,KRW
B0182,도서 182,인문,다출판사,17000,276,KRW
B0183,도서 183,인문,거출판사,22000,308,KRW
B0184,도서 184,소설,아출판사,41000,125,KRW
B0185,도서 185,과학,거출판사,13000,156,KRW
B0186,도서 186,소설,거출판사,35000,417,KRW
B0187,도서 187,자기계발,자출판사,36000,666,KRW
B0188,도서 188,소설,하출판사,33000,197,KRW
B0189,도서 189,과학,마출판사,38000,251,KRW
B0190,도서 190,여행,가출판사,37000,404,KRW
B0191,도서 191,여행,아출판사,19000,415,KRW
B0192,도서 192,인문,사출판사,40000,604,KRW
B0193,도서 193,인문,바출판사,26000,450,KRW
B0194,도서 194,인문,차출판사,21000,644,KRW
B0195,도서 195,자기계발,하출판사,14000,388,KRW
B0196,도서 196,인문,바출판사,19000,152,KRW
B0197,도서 197,과학,카출판사,28000,698,KRW
B0198,도서 198,과학,다출판사,38000,482,KRW
B0199,도서 199,자기계발,카출판사,33000,470,KRW
B0200,도서 200,자기계발,아출판사,44000,351,KRW
