item_id,order_id,book_id,quantity,unit_price,line_total
I000173,O00074,B0140,1,28000,28000
I000174,O00074,B0107,1,31000,31000
I000175,O00074,B0048,2,11000,22000
I000176,O00075,B0173,1,31000,31000
I000177,O00075,B0149,1,44000,44000
I000178,O00075,B0098,1,26000,26000
I000179,O00075,B0039,2,30000,60000
I000180,O00076,B0139,2,20000,40000
I000181,O00077,B0074,1,34000,34000
I000182,O00077,B0164,1,31000,31000
I000183,O00077,B0028,3,36000,108000
I000184,O00077,B0102,1,39000,39000
I000185,O00078,B0179,1,33000,33000
I000186,O00078,B0178,1,11000,11000
I000187,O00078,B0095,1,9000,9000
I000188,O00078,B0032,3,33000,99000
I000189,O00079,B0056,1,15000,15000
I000190,O00079,B0125,1,37000,37000
I000191,O00080,B0040,1,17000,17000
I000192,O00080,B0020,3,34000,102000
I000193,O00081,B0036,1,28000,28000
I000194,O00081,B0107,1,31000,31000
I000195,O00082,B0129,1,38000,38000
I000196,O00082,B0117,1,25000,25000
I000197,O00083,B0004,1,37000,37000
I000198,O00083,B0100,1,15000,15000
I000199,O00083,B0069,1,25000,25000
I000200,O00083,B0178,2,11000,22000
I000201,O00084,B0050,1,17000,17000
I000202,O00084,B0159,2,17000,34000
I000203,O00085,B0104,2,40000,80000
I000204,O00085,B0009,1,24000,24000
I000205,O00086,B0026,1,18000,18000
I000206,O00086,B0054,1,18000,18000
I000207,O00087,B0048,1,11000,11000
I000208,O00087,B0091,3,35000,105000
I000209,O00087,B0060,1,37000,37000
I000210,O00087,B0072,1,29000,29000
I000211,O00088,B0064,1,18000,18000
I000212,O00088,B0191,1,19000,19000
I000213,O00088,B0140,1,28000,28000
I000214,O00088,B0078,1,16000,16000
I000215,O00089,B0030,1,9000,9000
I000216,O00089,B0157,1,37000,37000
I000217,O00089,B0064,1,18000,18000
I000218,O00089,B0170,3,34000,102000
I000219,O00090,B0141,3,13000,39000
I000220,O00090,B0140,1,28000,28000
I000221,O00090,B0096,1,34000,34000
I000222,O00090,B0163,2,29000,58000
I000223,O00091,B0190,1,37000,37000
I000224,O00091,B0143,1,24000,24000
I000225,O00091,B0196,1,19000,19000
I000226,O00091,B0156,2,35000,70000
I000227,O00092,B0169,1,24000,24000
I000228,O00092,B0113,2,40000,80000
I000229,O00092,B0110,1,15000,15000
I000230,O00092,B0109,1,11000,11000
I000231,O00093,B0172,3,42000,126000
I000232,O00093,B0045,1,27000,27000
I000233,O00094,B0196,2,19000,38000
I000234,O00095,B0108,1,31000,31000
I000235,O00095,B0153,2,20000,40000
I000236,O00095,B0128,1,30000,30000
I000237,O00095,B0112,1,33000,33000
I000238,O00096,B0021,2,18000,36000
I000239,O00096,B0190,3,37000,111000
I000240,O00096,B0138,3,40000,120000
I000241,O00097,B0161,1,30000,30000
I000242,O00097,B0081,1,31000,31000
I000243,O00097,B0083,2,20000,40000
I000244,O00097,B0131,1,16000,16000
I000245,O00098,B0074,2,34000,68000
I000246,O00099,B0075,2,18000,36000
I000247,O00100,B0068,1,36000,36000
I000248,O00100,B0087,1,22000,22000
I000249,O00100,B0057,1,42000,42000
I000250,O00100,B0045,1,27000,27000
I000251,O00101,B0182,2,17000,34000
I000252,O00101,B0175,1,12000,12000
I000253,O00102,B0176,1,38000,38000
I000254,O00102,B0168,2,27000,54000
I000255,O00102,B0042,1,22000,22000
I000256,O00103,B0106,1,21000,21000
I000257,O00103,B0020,1,34000,34000
I000258,O00104,B0067,1,35000,35000
I000259,O00104,B0018,1,25000,25000
I000260,O00104,B0185,1,13000,13000
I000261,O00104,B0176,1,38000,38000
I000262,O00105,B0188,1,33000,33000
I000263,O00106,B0067,1,35000,35000
I000264,O00106,B0015,2,23000,46000
I000265,O00106,B0018,3,25000,75000
I000266,O00107,B0127,2,16000,32000
I000267,O00107,B0047,2,42000,84000
I000268,O00107,B0029,3,16000,48000
I000269,O00107,B0061,1,32000,32000
I000270,O00108,B0148,1,19000,19000
I000271,O00109,B0036,3,28000,84000
I000272,O00109,B0197,1,28000,28000
I000273,O00110,B0116,1,44000,44000
I000274,O00110,B0078,1,16000,16000
I000275,O00110,B0050,2,17000,34000
I000276,O00110,B0200,1,44000,44000
I000277,O00111,B0113,3,40000,120000
I000278,O00111,B0101,2,31000,62000
I000279,O00111,B0074,2,34000,68000
I000280,O00111,B0140,1,28000,28000
I000281,O00112,B0152,2,37000,74000
I000282,O00112,B0055,1,14000,14000
I000283,O00112,B0131,3,16000,48000
I000284,O00113,B0111,1,19000,19000
I000285,O00113,B0004,1,37000,37000
I000286,O00113,B0063,1,28000,28000
I000287,O00113,B0157,1,37000,37000
I000288,O00114,B0102,1,39000,39000
I000289,O00114,B0168,3,27000,81000
I000290,O00114,B0178,2,11000,22000
I000291,O00114,B0085,2,39000,78000
I000292,O00115,B0069,2,25000,50000
I000293,O00115,B0096,3,34000,102000
I000294,O00116,B0119,3,36000,108000
I000295,O00116,B0200,2,44000,88000
I000296,O00117,B0146,1,24000,24000
I000297,O00117,B0094,3,29000,87000
I000298,O00118,B0052,2,35000,70000
I000299,O00119,B0051,3,9000,27000
I000300,O00119,B0104,1,40000,40000
I000301,O00120,B0136,2,41000,82000
I000302,O00120,B0132,2,34000,68000
I000303,O00120,B0135,1,27000,27000
I000304,O00121,B0085,1,39000,39000
I000305,O00122,B0157,1,37000,37000
I000306,O00123,B0124,2,19000,38000
I000307,O00123,B0047,1,42000,42000
I000308,O00124,B0024,2,36000,72000
I000309,O00124,B0056,2,15000,30000
I000310,O00124,B0108,3,31000,93000
I000311,O00125,B0149,3,44000,132000
I000312,O00125,B0030,3,9000,27000
I000313,O00125,B0195,2,14000,28000
I000314,O00126,B0100,2,15000,30000
I000315,O00127,B0073,1,11000,11000
I000316,O00128,B0029,3,16000,48000
I000317,O00128,B0012,1,44000,44000
I000318,O00128,B0015,1,23000,23000
I000319,O00128,B0004,1,37000,37000
I000320,O00129,B0077,1,14000,14000
I000321,O00129,B0064,1,18000,18000
I000322,O00129,B0194,3,21000,63000
I000323,O00129,B0014,1,29000,29000
I000324,O00130,B0069,2,25000,50000
I000325,O00130,B0090,1,33000,33000
I000326,O00130,B0152,3,37000,111000
I000327,O00130,B0104,1,40000,40000
I000328,O00131,B0184,2,41000,82000
I000329,O00131,B0119,2,36000,72000
I000330,O00131,B0024,3,36000,108000
I000331,O00132,B0044,1,10000,10000
I000332,O00132,B0167,1,24000,24000
I000333,O00132,B0031,1,15000,15000
I000334,O00132,B0128,3,30000,90000
I000335,O00133,B0112,1,33000,33000
I000336,O00133,B0030,1,9000,9000
I000337,O00133,B0170,1,34000,34000
I000338,O00133,B0129,1,38000,38000
I000339,O00134,B0054,1,18000,18000
I000340,O00134,B0020,1,34000,34000
I000341,O00134,B0033,1,40000,40000
I000342,O00134,B0052,2,35000,70000
I000343,O00135,B0013,2,19000,38000
I000344,O00136,B0029,1,16000,16000
I000345,O00136,B0199,1,33000,33000
I000346,O00137,B0186,1,35000,35000
I000347,O00138,B0062,1,26000,26000
I000348,O00138,B0102,3,39000,117000
I000349,O00138,B0043,2,44000,88000
I000350,O00139,B0057,3,42000,126000
I000351,O00140,B0199,1,33000,33000
I000352,O00140,B0188,2,33000,66000
I000353,O00140,B0008,1,36000,36000
I000354,O00140,B0035,1,31000,31000
I000355,O00141,B0036,2,28000,56000
I000356,O00141,B0146,1,24000,24000
I000357,O00141,B0155,3,41000,123000
I000358,O00141,B0143,3,24000,72000
I000359,O00142,B0024,1,36000,36000
I000360,O00143,B0161,2,30000,60000
I000361,O00144,B0071,2,42000,84000
I000362,O00144,B0184,1,41000,41000
I000363,O00144,B0049,1,36000,36000
I000364,O00145,B0108,1,31000,31000
I000365,O00145,B0071,1,42000,42000
I000366,O00145,B0033,1,40000,40000
I000367,O00146,B0081,1,31000,31000
I000368,O00146,B0197,2,28000,56000
I000369,O00146,B0030,1,9000,9000
I000370,O00146,B0142,3,43000,129000
I000371,O00147,B0099,1,18000,18000
I000372,O00147,B0076,1,9000,9000
I000373,O00147,B0032,3,33000,99000
I000374,O00147,B0091,1,35000,35000
I000375,O00148,B0173,3,31000,93000
I000376,O00148,B0188,3,33000,99000
I000377,O00149,B0029,1,16000,16000
I000378,O00149,B0004,2,37000,74000
I000379,O00149,B0061,2,32000,64000
I000380,O00150,B0030,1,9000,9000
I000381,O00151,B0101,2,31000,62000
I000382,O00151,B0141,1,13000,13000
I000383,O00151,B0099,2,18000,36000
I000384,O00151,B0152,3,37000,111000
I000385,O00152,B0101,1,31000,31000
I000386,O00153,B0087,2,22000,44000
I000387,O00153,B0179,1,33000,33000
I000388,O00154,B0115,1,9000,9000
I000389,O00154,B0141,1,13000,13000
I000390,O00155,B0127,3,16000,48000
I000391,O00155,B0126,1,28000,28000
I000392,O00155,B0198,1,38000,38000
I000393,O00155,B0003,1,29000,29000
I000394,O00156,B0131,1,16000,16000
I000395,O00157,B0043,3,44000,132000
I000396,O00157,B0015,2,23000,46000
I000397,O00157,B0026,2,18000,36000
I000398,O00157,B0126,1,28000,28000
I000399,O00158,B0121,3,15000,45000
I000400,O00158,B0123,1,41000,41000
I000401,O00158,B0022,2,22000,44000
I000402,O00159,B0019,1,26000,26000
I000403,O00159,B0044,3,10000,30000
I000404,O00159,B0178,1,11000,11000
I000405,O00160,B0077,3,14000,42000
I000406,O00160,B0148,1,19000,19000
I000407,O00160,B0196,2,19000,38000
I000408,O00160,B0105,3,34000,102000
I000409,O00161,B0020,1,34000,34000
I000410,O00161,B0012,1,44000,44000
I000411,O00161,B0170,1,34000,34000
I000412,O00161,B0054,1,18000,18000
I000413,O00162,B0021,3,18000,54000
I000414,O00162,B0046,1,37000,37000
I000415,O00162,B0159,1,17000,17000
I000416,O00163,B0065,3,25000,75000
I000417,O00164,B0108,1,31000,31000
I000418,O00164,B0148,1,19000,19000
I000419,O00165,B0065,1,25000,25000
I000420,O00166,B0093,2,15000,30000
I000421,O00167,B0198,1,38000,38000
I000422,O00167,B0145,2,40000,80000
I000423,O00168,B0010,1,12000,12000
I000424,O00168,B0144,1,19000,19000
I000425,O00168,B0134,2,29000,58000
I000426,O00168,B0064,1,18000,18000
I000427,O00169,B0138,1,40000,40000
I000428,O00169,B0187,3,36000,108000
I000429,O00169,B0013,2,19000,38000
I000430,O00170,B0190,2,37000,74000
I000431,O00170,B0130,3,37000,111000
I000432,O00171,B0039,1,30000,30000
I000433,O00171,B0068,2,36000,72000
I000434,O00172,B0123,1,41000,41000
I000435,O00172,B0021,1,18000,18000
I000436,O00172,B0148,3,19000,57000
I000437,O00173,B0022,1,22000,22000
I000438,O00173,B0085,2,39000,78000
I000439,O00173,B0037,1,20000,20000
I000440,O00173,B0190,1,37000,37000
I000441,O00174,B0114,3,36000,108000
I000442,O00174,B0146,3,24000,72000
I000443,O00175,B0170,1,34000,34000
I000444,O00176,B0034,1,44000,44000
I000445,O00176,B0032,3,33000,99000
I000446,O00176,B0066,1,30000,30000
I000447,O00176,B0174,3,31000,93000
I000448,O00177,B0186,1,35000,35000
I000449,O00178,B0157,3,37000,111000
I000450,O00178,B0022,1,22000,22000
I000451,O00178,B0043,1,44000,44000
I000452,O00178,B0132,1,34000,34000
I000453,O00179,B0018,3,25000,75000
I000454,O00179,B0176,1,38000,38000
I000455,O00180,B0051,2,9000,18000
I000456,O00180,B0057,1,42000,42000
I000457,O00181,B0008,1,36000,36000
I000458,O00181,B0006,1,16000,16000
I000459,O00181,B0145,1,40000,40000
I000460,O00182,B0142,2,43000,86000
I000461,O00182,B0185,3,13000,39000
I000462,O00183,B0008,1,36000,36000
I000463,O00183,B0029,1,16000,16000
I000464,O00183,B0139,2,20000,40000
I000465,O00183,B0072,1,29000,29000
I000466,O00184,B0019,1,26000,26000
I000467,O00184,B0145,3,40000,120000
I000468,O00184,B0189,2,38000,76000
I000469,O00184,B0056,1,15000,15000
I000470,O00185,B0155,3,41000,123000
I000471,O00185,B0023,1,14000,14000
I000472,O00185,B0066,1,30000,30000
I000473,O00186,B0038,2,32000,64000
I000474,O00186,B0133,1,9000,9000
I000475,O00187,B0134,1,29000,29000
I000476,O00187,B0124,3,19000,57000
I000477,O00187,B0198,1,38000,38000
I000478,O00188,B0133,2,9000,18000
I000479,O00188,B0174,1,31000,31000
I000480,O00189,B0123,1,41000,41000
I000481,O00189,B0009,1,24000,24000
I000482,O00189,B0039,1,30000,30000
I000483,O00190,B0114,1,36000,36000
I000484,O00190,B0089,1,44000,44000
I000485,O00190,B0172,1,42000,42000
I000486,O00191,B0032,3,33000,99000
I000487,O00191,B0045,1,27000,27000
I000488,O00191,B0071,1,42000,42000
I000489,O00192,B0149,1,44000,44000
I000490,O00192,B0141,3,13000,39000
I000491,O00192,B0063,1,28000,28000
I000492,O00192,B0037,1,20000,20000
I000493,O00193,B0156,1,35000,35000
I000494,O00193,B0029,1,16000,16000
I000495,O00193,B0067,1,35000,35000
I000496,O00194,B0025,1,41000,41000
I000497,O00194,B0161,1,30000,30000
I000498,O00194,B0049,1,36000,36000
I000499,O00195,B0068,3,36000,108000
I000500,O00195,B0157,3,37000,111000
I000501,O00195,B0008,2,36000,72000
I000502,O00196,B0003,1,29000,29000
I000503,O00196,B0001,1,13000,13000
I000504,O00197,B0124,3,19000,57000
I000505,O00198,B0155,1,41000,41000
I000506,O00198,B0118,1,26000,26000
I000507,O00198,B0040,1,17000,17000
I000508,O00199,B0058,2,33000,66000
I000509,O00200,B0091,2,35000,70000
I000510,O00200,B0177,1,24000,24000
I000511,O00200,B0116,1,44000,44000
I000512,O00201,B0189,1,38000,38000
I000513,O00202,B0163,1,29000,29000
I000514,O00203,B0189,1,38000,38000
I000515,O00203,B0158,1,26000,26000
I000516,O00203,B0146,3,24000,72000
I000517,O00203,B0102,1,39000,39000
I000518,O00204,B0147,1,43000,43000
I000519,O00204,B0131,1,16000,16000
I000520,O00205,B0109,2,11000,22000
I000521,O00206,B0175,1,12000,12000
I000522,O00206,B0157,3,37000,111000
I000523,O00206,B0095,1,9000,9000
I000524,O00206,B0153,2,20000,40000
I000525,O00207,B0167,3,24000,72000
I000526,O00207,B0193,2,26000,52000
I000527,O00208,B0030,1,9000,9000
I000528,O00208,B0073,1,11000,11000
I000529,O00208,B0194,1,21000,21000
I000530,O00208,B0006,2,16000,32000
I000531,O00209,B0092,3,18000,54000
I000532,O00209,B0060,1,37000,37000
I000533,O00210,B0070,1,26000,26000
I000534,O00210,B0178,1,11000,11000
I000535,O00210,B0180,2,29000,58000
I000536,O00210,B0063,1,28000,28000
I000537,O00211,B0038,3,32000,96000
I000538,O00211,B0141,1,13000,13000
I000539,O00211,B0099,3,18000,54000
I000540,O00211,B0126,3,28000,84000
I000541,O00212,B0194,3,21000,63000
I000542,O00213,B0165,1,36000,36000
I000543,O00213,B0123,1,41000,41000
I000544,O00213,B0148,1,19000,19000
I000545,O00214,B0048,1,11000,11000
I000546,O00214,B0110,1,15000,15000
I000547,O00214,B0051,3,9000,27000
I000548,O00215,B0174,3,31000,93000
I000549,O00215,B0134,1,29000,29000
I000550,O00216,B0064,1,18000,18000
I000551,O00216,B0035,1,31000,31000
I000552,O00217,B0053,1,9000,9000
I000553,O00217,B0136,2,41000,82000
I000554,O00218,B0060,1,37000,37000
I000555,O00218,B0103,1,13000,13000
I000556,O00218,B0061,1,32000,32000
I000557,O00218,B0160,1,33000,33000
I000558,O00219,B0151,1,12000,12000
I000559,O00219,B0124,1,19000,19000
I000560,O00219,B0129,3,38000,114000
I000561,O00219,B0063,2,28000,56000
I000562,O00220,B0127,2,16000,32000
I000563,O00220,B0053,3,9000,27000
I000564,O00220,B0153,1,20000,20000
I000565,O00221,B0177,2,24000,48000
I000566,O00221,B0053,1,9000,9000
I000567,O00222,B0200,2,44000,88000
I000568,O00223,B0146,3,24000,72000
I000569,O00223,B0009,1,24000,24000
I000570,O00223,B0149,1,44000,44000
I000571,O00224,B0122,1,12000,12000
I000572,O00224,B0188,2,33000,66000
I000573,O00225,B0014,2,29000,58000
I000574,O00226,B0014,1,29000,29000
I000575,O00227,B0128,1,30000,30000
I000576,O00227,B0017,1,17000,17000
I000577,O00228,B0084,1,31000,31000
I000578,O00229,B0142,1,43000,43000
I000579,O00229,B0017,3,17000,51000
I000580,O00229,B0057,1,42000,42000
I000581,O00230,B0139,1,20000,20000
I000582,O00231,B0085,1,39000,39000
I000583,O00231,B0125,1,37000,37000
I000584,O00231,B0011,3,9000,27000
I000585,O00231,B0130,2,37000,74000
I000586,O00232,B0071,1,42000,42000
I000587,O00232,B0053,1,9000,9000
I000588,O00232,B0022,1,22000,22000
I000589,O00233,B0135,2,27000,54000
I000590,O00234,B0164,1,31000,31000
I000591,O00234,B0085,2,39000,78000
I000592,O00235,B0053,1,9000,9000
I000593,O00235,B0085,1,39000,39000
I000594,O00236,B0016,1,19000,19000
I000595,O00236,B0154,1,28000,28000
I000596,O00236,B0156,1,35000,35000
I000597,O00237,B0069,1,25000,25000
I000598,O00238,B0036,3,28000,84000
I000599,O00238,B0094,1,29000,29000
I000600,O00239,B0198,2,38000,76000
I000601,O00239,B0197,2,28000,56000
I000602,O00240,B0132,3,34000,102000
I000603,O00240,B0184,1,41000,41000
I000604,O00240,B0166,1,43000,43000
I000605,O00240,B0143,1,24000,24000
I000606,O00241,B0101,1,31000,31000
I000607,O00241,B0062,1,26000,26000
I000608,O00242,B0189,2,38000,76000
I000609,O00242,B0022,1,22000,22000
I000610,O00242,B0171,1,35000,35000
I000611,O00243,B0106,1,21000,21000
I000612,O00244,B0180,2,29000,58000
I000613,O00244,B0030,3,9000,27000
I000614,O00244,B0002,1,13000,13000
I000615,O00244,B0156,1,35000,35000
I000616,O00245,B0067,3,35000,105000
I000617,O00246,B0006,1,16000,16000
I000618,O00246,B0183,1,22000,22000
I000619,O00246,B0108,1,31000,31000
I000620,O00246,B0159,2,17000,34000
I000621,O00247,B0121,2,15000,30000
I000622,O00247,B0037,1,20000,20000
I000623,O00247,B0162,2,27000,54000
I000624,O00248,B0195,2,14000,28000
I000625,O00248,B0001,1,13000,13000
I000626,O00248,B0059,1,20000,20000
I000627,O00248,B0050,1,17000,17000
I000628,O00249,B0189,1,38000,38000
I000629,O00249,B0120,1,38000,38000
I000630,O00249,B0156,1,35000,35000
I000631,O00250,B0059,1,20000,20000
I000632,O00250,B0156,1,35000,35000
I000633,O00250,B0042,2,22000,44000
I000634,O00251,B0159,1,17000,17000
I000635,O00252,B0053,3,9000,27000
I000636,O00252,B0008,2,36000,72000
I000637,O00252,B0179,2,33000,66000
I000638,O00252,B0100,2,15000,30000
I000639,O00253,B0183,3,22000,66000
I000640,O00253,B0089,3,44000,132000
I000641,O00253,B0146,2,24000,48000
I000642,O00253,B0143,1,24000,24000
I000643,O00254,B0142,1,43000,43000
I000644,O00254,B0080,3,16000,48000
I000645,O00254,B0141,1,13000,13000
I000646,O00255,B0112,2,33000,66000
I000647,O00255,B0011,1,9000,9000
I000648,O00256,B0067,1,35000,35000
I000649,O00257,B0106,1,21000,21000
I000650,O00257,B0129,3,38000,114000
I000651,O00258,B0091,2,35000,70000
I000652,O00258,B0032,1,33000,33000
I000653,O00258,B0080,2,16000,32000
I000654,O00258,B0025,3,41000,123000
I000655,O00259,B0003,1,29000,29000
I000656,O00259,B0070,2,26000,52000
I000657,O00260,B0153,3,20000,60000
I000658,O00261,B0022,1,22000,22000
I000659,O00261,B0199,3,33000,99000
I000660,O00262,B0009,1,24000,24000
I000661,O00262,B0155,2,41000,82000
I000662,O00262,B0130,2,37000,74000
I000663,O00263,B0024,2,36000,72000
I000664,O00263,B0102,1,39000,39000
I000665,O00264,B0055,3,14000,42000
I000666,O00265,B0134,3,29000,87000
I000667,O00265,B0129,2,38000,76000
I000668,O00265,B0028,1,36000,36000
I000669,O00265,B0079,1,25000,25000
I000670,O00266,B0102,1,39000,39000
I000671,O00266,B0137,1,18000,18000
I000672,O00266,B0013,2,19000,38000
I000673,O00266,B0055,1,14000,14000
I000674,O00267,B0083,1,20000,20000
I000675,O00268,B0148,3,19000,57000
I000676,O00268,B0002,3,13000,39000
I000677,O00268,B0196,1,19000,19000
I000678,O00268,B0197,3,28000,84000
I000679,O00269,B0139,2,20000,40000
I000680,O00269,B0097,2,38000,76000
I000681,O00269,B0001,1,13000,13000
I000682,O00269,B0122,3,12000,36000
I000683,O00270,B0031,1,15000,15000
I000684,O00271,B0019,2,26000,52000
I000685,O00271,B0085,1,39000,39000
I000686,O00272,B0119,1,36000,36000
I000687,O00272,B0173,1,31000,31000
I000688,O00272,B0154,1,28000,28000
I000689,O00272,B0172,1,42000,42000
I000690,O00273,B0139,1,20000,20000
I000691,O00273,B0053,2,9000,18000
I000692,O00273,B0035,1,31000,31000
I000693,O00274,B0102,2,39000,78000
I000694,O00274,B0087,2,22000,44000
I000695,O00274,B0051,1,9000,9000
I000696,O00275,B0147,1,43000,43000
I000697,O00275,B0073,1,11000,11000
