order_id,customer_id,order_date,channel,payment_method,coupon_code
O00045,C0350,2023-10-18,앱,계좌이체,
O00046,C0329,2023-12-07,앱,카드,
O00047,C0100,2023-04-23,웹,계좌이체,
O00048,C0238,2023-01-21,웹,간편결제,
O00049,C0355,2023-08-20,앱,계좌이체,
O00050,C0268,2023-04-08,앱,간편결제,
O00051,C0380,2023-08-01,앱,계좌이체,
O00052,C0117,2023-11-09,웹,간편결제,
O00053,C0165,2023-11-13,웹,계좌이체,
O00054,C0349,2023-03-26,제휴몰,간편결제,
O00055,C0168,2023-02-17,웹,간편결제,
O00056,C0275,2023-10-21,앱,계좌이체,VIP
O00057,C0213,2023-05-24,앱,계좌이체,WELCOME
O00058,C0067,2023-09-14,웹,카드,WELCOME
O00059,C0033,2023-12-13,제휴몰,카드,
O00060,C0238,2023-01-18,웹,카드,VIP
O00061,C0320,2023-09-03,웹,간편결제,
O00062,C0014,2023-09-16,앱,간편결제,
O00063,C0196,2023-09-17,웹,간편결제,
O00064,C0349,2023-01-14,웹,계좌이체,WELCOME
O00065,C0215,2023-02-09,앱,간편결제,
O00066,C0047,2023-10-20,앱,카드,
O00067,C0239,2023-02-03,앱,계좌이체,
O00068,C0057,2023-12-10,웹,계좌이체,
O00069,C0311,2023-05-12,웹,계좌이체,
O00070,C0310,2023-06-01,앱,카드,
O00071,C0226,2023-06-28,앱,간편결제,SPRING
O00072,C0088,2023-11-27,앱,카드,
O00073,C0217,2023-09-08,웹,계좌이체,
O00074,C0297,2023-04-09,앱,계좌이체,
O00075,C0394,2023-10-22,앱,카드,WELCOME
O00076,C0082,2023-09-03,제휴몰,간편결제,
O00077,C0201,2023-08-04,앱,계좌이체,
O00078,C0292,2023-03-07,웹,계좌이체,SPRING
O00079,C0131,2023-04-02,앱,카드,
O00080,C0362,2023-08-07,앱,계좌이체,SPRING
O00081,C0288,2023-02-09,웹,간편결제,
O00082,C0062,2023-06-05,제휴몰,간편결제,
O00083,C0098,2023-04-17,웹,카드,
O00084,C0054,2023-09-03,웹,간편결제,WELCOME
O00085,C0327,2023-12-05,제휴몰,간편결제,SPRING
O00086,C0265,2023-06-25,웹,계좌이체,
O00087,C0385,2023-11-03,웹,카드,
O00088,C0048,2023-06-03,웹,간편결제,
O00089,C0298,2023-09-27,웹,카드,
O00090,C0274,2023-12-23,앱,계좌이체,
O00091,C0255,2023-09-02,앱,계좌이체,
O00092,C0372,2023-04-03,앱,간편결제,
O00093,C0148,2023-05-23,제휴몰,카드,SPRING
O00094,C0066,2023-12-27,웹,간편결제,
O00095,C0373,2023-11-06,웹,카드,
O00096,C0106,2023-04-20,앱,간편결제,
O00097,C0333,2023-06-01,앱,간편결제,
O00098,C0388,2023-10-17,앱,카드,WELCOME
O00099,C0255,2023-08-07,웹,간편결제,
O00100,C0240,2023-06-19,웹,카드,WELCOME
O00101,C0006,2023-05-28,앱,계좌이체,
O00102,C0102,2023-05-14,앱,카드,
O00103,C0234,2023-08-08,앱,카드,
O00104,C0354,2023-10-19,제휴몰,계좌이체,
O00105,C0166,2023-06-10,앱,계좌이체,
O00106,C0185,2023-02-02,웹,카드,WELCOME
O00107,C0191,2023-09-20,앱,계좌이체,
O00108,C0071,2023-02-03,웹,카드,
O00109,C0002,2023-09-13,제휴몰,카드,SPRING
O00110,C0296,2023-11-21,앱,계좌이체,
O00111,C0191,2023-12-14,앱,카드,
O00112,C0140,2023-09-28,웹,간편결제,
O00113,C0355,2023-05-19,제휴몰,계좌이체,
O00114,C0213,2023-09-05,앱,간편결제,
O00115,C0002,2023-03-21,앱,카드,SPRING
O00116,C0356,2023-02-21,제휴몰,간편결제,
O00117,C0253,2023-11-22,웹,카드,
O00118,C0350,2023-01-24,웹,카드,
O00119,C0075,2023-01-17,앱,계좌이체,
O00120,C0146,2023-01-24,웹,계좌이체,
O00121,C0080,2023-09-22,웹,카드,
O00122,C0324,2023-04-13,앱,간편결제,
O00123,C0268,2023-12-26,앱,간편결제,
O00124,C0294,2023-02-02,웹,카드,
O00125,C0147,2023-01-23,웹,카드,VIP
O00126,C0323,2023-01-21,앱,간편결제,
O00127,C0304,2023-03-06,제휴몰,카드,SPRING
O00128,C0353,2023-05-26,앱,간편결제,
O00129,C0354,2023-08-13,앱,카드,
O00130,C0338,2023-03-01,앱,계좌이체,
O00131,C0391,2023-08-02,앱,계좌이체,VIP
O00132,C0242,2023-03-19,웹,카드,
O00133,C0117,2023-03-14,웹,카드,
O00134,C0054,2023-10-12,웹,간편결제,
O00135,C0371,2023-05-20,앱,카드,
O00136,C0062,2023-09-20,웹,카드,WELCOME
O00137,C0296,2023-01-06,웹,카드,
O00138,C0111,2023-05-02,웹,간편결제,
O00139,C0038,2023-11-25,앱,카드,
O00140,C0252,2023-11-15,앱,계좌이체,
O00141,C0276,2023-12-17,웹,계좌이체,
O00142,C0320,2023-02-07,웹,계좌이체,
O00143,C0362,2023-05-07,웹,간편결제,
O00144,C0256,2023-02-11,웹,카드,WELCOME
O00145,C0063,2023-08-25,웹,계좌이체,
O00146,C0062,2023-08-16,웹,계좌이체,
O00147,C0065,2023-06-15,웹,계좌이체,
O00148,C0244,2023-03-27,앱,카드,
O00149,C0007,2023-12-28,제휴몰,간편결제,SPRING
O00150,C0095,2023-05-06,앱,간편결제,
O00151,C0217,2023-08-23,웹,카드,
O00152,C0353,2023-12-13,제휴몰,간편결제,VIP
O00153,C0158,2023-12-01,웹,카드,
O00154,C0353,2023-06-04,웹,계좌이체,
O00155,C0150,2023-02-24,웹,카드,VIP
O00156,C0039,2023-08-11,웹,간편결제,
O00157,C0317,2023-06-11,웹,카드,
O00158,C0354,2023-02-21,웹,계좌이체,
O00159,C0348,2023-03-21,앱,간편결제,
O00160,C0250,2023-06-26,웹,간편결제,
O00161,C0101,2023-05-08,앱,간편결제,WELCOME
O00162,C0199,2023-01-13,웹,카드,SPRING
O00163,C0235,2023-08-23,웹,계좌이체,
O00164,C0244,2023-08-23,웹,간편결제,
O00165,C0190,2023-04-11,앱,계좌이체,VIP
O00166,C0311,2023-01-24,앱,계좌이체,VIP
O00167,C0347,2023-06-02,앱,간편결제,
O00168,C0316,2023-04-03,앱,계좌이체,
O00169,C0118,2023-08-26,웹,계좌이체,
O00170,C0306,2023-11-13,제휴몰,간편결제,
O00171,C0158,2023-11-23,앱,계좌이체,WELCOME
O00172,C0215,2023-06-18,웹,계좌이체,
O00173,C0229,2023-10-25,앱,계좌이체,
O00174,C0165,2023-10-21,웹,계좌이체,
O00175,C0369,2023-02-06,웹,계좌이체,
O00176,C0253,2023-04-15,웹,간편결제,
O00177,C0285,2023-01-25,웹,카드,
O00178,C0129,2023-12-06,앱,카드,WELCOME
O00179,C0185,2023-05-08,앱,계좌이체,
O00180,C0111,2023-01-13,웹,계좌이체,
O00181,C0001,2023-05-16,웹,간편결제,WELCOME
O00182,C0228,2023-02-04,웹,카드,VIP
O00183,C0060,2023-09-27,웹,카드,
O00184,C0262,2023-10-11,앱,계좌이체,WELCOME
O00185,C0062,2023-09-14,웹,간편결제,
O00186,C0254,2023-11-20,웹,간편결제,SPRING
O00187,C0019,2023-03-17,웹,간편결제,
O00188,C0286,2023-05-22,웹,계좌이체,
O00189,C0171,2023-01-03,웹,계좌이체,
O00190,C0201,2023-11-23,웹,카드,
O00191,C0313,2023-11-25,앱,계좌이체,
O00192,C0193,2023-01-14,앱,간편결제,
O00193,C0336,2023-08-23,앱,계좌이체,
O00194,C0014,2023-01-10,앱,간편결제,
O00195,C0111,2023-05-06,제휴몰,계좌이체,
O00196,C0154,2023-10-10,앱,간편결제,
O00197,C0018,2023-01-13,앱,간편결제,WELCOME
O00198,C0054,2023-10-07,웹,간편결제,VIP
O00199,C0153,2023-10-26,웹,카드,
O00200,C0318,2023-11-09,웹,카드,
O00201,C0141,2023-04-12,웹,카드,
O00202,C0395,2023-09-27,웹,간편결제,
O00203,C0111,2023-11-19,제휴몰,계좌이체,
O00204,C0194,2023-03-03,웹,계좌이체,
O00205,C0176,2023-02-21,웹,간편결제,
O00206,C0356,2023-12-09,제휴몰,간편결제,SPRING
O00207,C0149,2023-09-02,앱,카드,VIP
O00208,C0007,2023-09-07,웹,카드,
O00209,C0254,2023-08-20,웹,계좌이체,
O00210,C0313,2023-11-03,웹,간편결제,
O00211,C0296,2023-09-25,웹,계좌이체,SPRING
O00212,C0177,2023-06-28,웹,계좌이체,WELCOME
O00213,C0095,2023-03-17,앱,카드,
O00214,C0208,2023-03-20,웹,간편결제,
O00215,C0158,2023-06-22,앱,계좌이체,WELCOME
O00216,C0261,2023-12-28,웹,계좌이체,
O00217,C0208,2023-05-20,웹,간편결제,
O00218,C0214,2023-05-28,앱,카드,
O00219,C0295,2023-12-13,앱,카드,WELCOME
O00220,C0231,2023-02-24,앱,간편결제,
O00221,C0368,2023-03-20,앱,간편결제,WELCOME
O00222,C0136,2023-10-02,웹,카드,SPRING
O00223,C0028,2023-03-27,앱,계좌이체,
O00224,C0171,2023-04-02,제휴몰,간편결제,
O00225,C0103,2023-12-25,앱,계좌이체,
O00226,C0184,2023-06-27,앱,계좌이체,
O00227,C0005,2023-10-21,웹,간편결제,
O00228,C0254,2023-10-08,앱,계좌이체,
O00229,C0282,2023-10-23,앱,카드,
O00230,C0255,2023-01-20,웹,간편결제,
O00231,C0148,2023-05-13,웹,계좌이체,
O00232,C0385,2023-09-26,앱,간편결제,
O00233,C0037,2023-12-11,웹,계좌이체,
O00234,C0279,2023-03-02,웹,간편결제,
O00235,C0205,2023-06-17,웹,계좌이체,
O00236,C0387,2023-04-03,앱,카드,
O00237,C0053,2023-02-27,앱,간편결제,
O00238,C0141,2023-03-13,앱,카드,
O00239,C0148,2023-05-19,웹,계좌이체,
O00240,C0005,2023-02-16,앱,계좌이체,VIP
O00241,C0137,2023-09-04,웹,간편결제,
O00242,C0152,2023-12-04,웹,간편결제,
O00243,C0234,2023-01-27,앱,계좌이체,
O00244,C0073,2023-04-14,앱,간편결제,
O00245,C0240,2023-05-04,앱,계좌이체,SPRING
O00246,C0099,2023-11-26,앱,카드,WELCOME
O00247,C0377,2023-02-24,웹,카드,
O00248,C0373,2023-08-01,앱,간편결제,
O00249,C0015,2023-06-20,웹,계좌이체,WELCOME
O00250,C0120,2023-03-18,웹,카드,WELCOME
O00251,C0049,2023-06-09,웹,간편결제,
O00252,C0042,2023-10-17,웹,카드,SPRING
O00253,C0372,2023-02-12,웹,간편결제,WELCOME
O00254,C0112,2023-02-25,앱,계좌이체,
O00255,C0335,2023-02-07,웹,간편결제,
O00256,C0139,2023-10-09,제휴몰,카드,SPRING
O00257,C0270,2023-05-16,웹,카드,
O00258,C0146,2023-02-13,앱,간편결제,SPRING
O00259,C0261,2023-11-26,제휴몰,계좌이체,
O00260,C0332,2023-11-21,앱,카드,VIP
O00261,C0282,2023-06-07,앱,계좌이체,WELCOME
O00262,C0355,2023-09-25,앱,간편결제,
O00263,C0132,2023-12-13,제휴몰,카드,WELCOME
O00264,C0063,2023-08-26,앱,카드,
O00265,C0386,2023-02-07,웹,계좌이체,
O00266,C0026,2023-01-04,웹,간편결제,
O00267,C0289,2023-01-19,제휴몰,계좌이체,
O00268,C0308,2023-02-17,앱,간편결제,
O00269,C0325,2023-01-14,앱,카드,VIP
O00270,C0217,2023-12-14,웹,계좌이체,
O00271,C0107,2023-04-15,앱,카드,SPRING
O00272,C0088,2023-04-25,앱,계좌이체,
O00273,C0305,2023-01-28,웹,계좌이체,
O00274,C0275,2023-04-27,앱,간편결제,
O00275,C0282,2023-05-26,웹,카드,
O00276,C0288,2023-02-23,앱,계좌이체,
O00277,C0397,2023-06-26,웹,계좌이체,
O00278,C0161,2023-10-09,웹,계좌이체,
O00279,C0219,2023-12-03,앱,계좌이체,
O00280,C0011,2023-08-18,웹,간편결제,
O00281,C0227,2023-10-17,앱,카드,
O00282,C0098,2023-10-24,웹,계좌이체,VIP
O00283,C0196,2023-05-22,웹,계좌이체,VIP
O00284,C0047,2023-05-13,웹,계좌이체,
O00285,C0073,2023-05-15,앱,카드,
O00286,C0110,2023-12-09,웹,간편결제,
O00287,C0178,2023-04-22,웹,카드,
O00288,C0044,2023-12-19,웹,간편결제,
O00289,C0002,2023-09-02,웹,계좌이체,
O00290,C0140,2023-10-15,앱,간편결제,
O00291,C0228,2023-01-10,웹,간편결제,
O00292,C0330,2023-11-23,앱,간편결제,
O00293,C0396,2023-06-13,앱,계좌이체,
O00294,C0130,2023-05-25,웹,계좌이체,
O00295,C0349,2023-06-03,앱,계좌이체,SPRING
O00296,C0053,2023-03-11,앱,간편결제,SPRING
O00297,C0113,2023-02-04,앱,카드,
O00298,C0342,2023-08-02,앱,간편결제,
O00299,C0341,2023-10-13,앱,카드,
O00300,C0326,2023-10-13,앱,카드,
O00301,C0008,2023-03-07,앱,간편결제,
O00302,C0311,2023-06-16,앱,간편결제,
O00303,C0166,2023-01-26,앱,계좌이체,
O00304,C0141,2023-09-03,앱,카드,
O00305,C0301,2023-05-05,앱,계좌이체,
O00306,C0205,2023-01-16,앱,계좌이체,
O00307,C0221,2023-08-08,앱,카드,
O00308,C0125,2023-08-18,제휴몰,간편결제,
O00309,C0166,2023-10-04,웹,간편결제,
O00310,C0166,2023-11-23,웹,카드,
O00311,C0258,2023-05-19,앱,카드,
O00312,C0067,2023-04-10,제휴몰,카드,
O00313,C0075,2023-02-04,제휴몰,계좌이체,
O00314,C0024,2023-08-03,앱,계좌이체,WELCOME
O00315,C0236,2023-02-01,웹,계좌이체,
O00316,C0282,2023-04-27,웹,계좌이체,WELCOME
O00317,C0112,2023-02-13,웹,계좌이체,
O00318,C0148,2023-06-05,웹,계좌이체,SPRING
O00319,C0087,2023-03-01,앱,간편결제,
O00320,C0167,2023-01-22,앱,간편결제,
O00321,C0266,2023-02-17,웹,계좌이체,VIP
O00322,C0159,2023-10-16,앱,계좌이체,
O00323,C0375,2023-09-09,웹,카드,
O00324,C0165,2023-04-20,앱,간편결제,WELCOME
O00325,C0169,2023-12-18,웹,간편결제,
O00326,C0319,2023-06-20,앱,계좌이체,SPRING
O00327,C0353,2023-11-23,웹,카드,
O00328,C0226,2023-05-06,웹,카드,VIP
O00329,C0208,2023-05-07,앱,계좌이체,
O00330,C0291,2023-04-17,앱,카드,
O00331,C0199,2023-02-03,웹,계좌이체,
O00332,C0013,2023-12-22,웹,카드,SPRING
O00333,C0262,2023-08-08,웹,간편결제,
O00334,C0015,2023-10-11,앱,계좌이체,
O00335,C0240,2023-12-15,웹,계좌이체,
O00336,C0295,2023-06-21,웹,계좌이체,SPRING
O00337,C0305,2023-02-17,웹,카드,
O00338,C0309,2023-10-05,앱,카드,
O00339,C0231,2023-04-22,앱,간편결제,
O00340,C0189,2023-04-20,웹,계좌이체,
O00341,C0256,2023-01-24,웹,간편결제,
O00342,C0094,2023-01-28,웹,계좌이체,
O00343,C0331,2023-08-18,앱,계좌이체,
O00344,C0105,2023-08-18,웹,계좌이체,
O00345,C0273,2023-01-06,제휴몰,계좌이체,
O00346,C0115,2023-11-24,앱,계좌이체,
O00347,C0363,2023-08-28,앱,계좌이체,
O00348,C0359,2023-10-11,웹,간편결제,
O00349,C0141,2023-09-11,웹,계좌이체,WELCOME
O00350,C0191,2023-06-24,웹,카드,
O00351,C0184,2023-04-11,웹,간편결제,
O00352,C0226,2023-02-22,앱,계좌이체,
O00353,C0371,2023-12-24,앱,계좌이체,
O00354,C0101,2023-03-22,앱,간편결제,
O00355,C0095,2023-05-17,제휴몰,카드,
O00356,C0057,2023-08-24,앱,간편결제,WELCOME
O00357,C0391,2023-11-20,웹,계좌이체,
O00358,C0279,2023-08-17,제휴몰,간편결제,SPRING
O00359,C0389,2023-09-22,앱,카드,
O00360,C0149,2023-06-18,웹,계좌이체,SPRING
O00361,C0022,2023-03-04,앱,계좌이체,
O00362,C0293,2023-05-13,웹,간편결제,
O00363,C0051,2023-02-08,앱,계좌이체,
O00364,C0083,2023-03-06,앱,카드,
O00365,C0182,2023-01-27,웹,간편결제,
O00366,C0268,2023-08-20,웹,간편결제,
O00367,C0041,2023-11-25,웹,간편결제,
O00368,C0285,2023-10-09,웹,계좌이체,
O00369,C0363,2023-03-24,웹,카드,
O00370,C0155,2023-04-23,앱,카드,
O00371,C0009,2023-02-06,앱,카드,
O00372,C0063,2023-12-12,제휴몰,카드,WELCOME
O00373,C0147,2023-05-01,앱,간편결제,
O00374,C0222,2023-11-23,앱,카드,
O00375,C0294,2023-03-28,웹,카드,
O00376,C0340,2023-01-28,앱,계좌이체,WELCOME
O00377,C0329,2023-06-10,웹,계좌이체,
O00378,C0122,2023-01-08,웹,카드,
O00379,C0195,2023-04-24,제휴몰,카드,VIP
O00380,C0185,2023-03-10,앱,간편결제,
O00381,C0297,2023-01-21,웹,계좌이체,
O00382,C0253,2023-12-06,웹,카드,
O00383,C0308,2023-11-24,제휴몰,카드,
O00384,C0335,2023-10-23,앱,간편결제,
O00385,C0279,2023-04-09,앱,간편결제,
O00386,C0005,2023-03-06,앱,간편결제,
O00387,C0026,2023-10-03,앱,카드,
O00388,C0126,2023-02-26,앱,카드,
O00389,C0345,2023-09-06,제휴몰,간편결제,SPRING
O00390,C0245,2023-12-16,웹,간편결제,
O00391,C0085,2023-09-10,웹,카드,
O00392,C0162,2023-10-26,앱,계좌이체,
O00393,C0061,2023-05-10,앱,계좌이체,
O00394,C0112,2023-08-23,웹,간편결제,SPRING
O00395,C0071,2023-09-07,앱,간편결제,
O00396,C0034,2023-05-08,앱,간편결제,
O00397,C0201,2023-03-11,웹,카드,
O00398,C0182,2023-05-15,앱,간편결제,
O00399,C0059,2023-09-20,앱,카드,
O00400,C0129,2023-10-15,앱,계좌이체,
O00401,C0250,2023-02-09,앱,간편결제,
O00402,C0034,2023-03-19,웹,계좌이체,
O00403,C0064,2023-08-14,앱,간편결제,
O00404,C0047,2023-09-24,웹,계좌이체,
O00405,C0019,2023-11-23,앱,카드,SPRING
O00406,C0303,2023-06-02,웹,계좌이체,
O00407,C0001,2023-08-23,앱,계좌이체,SPRING
O00408,C0297,2023-11-15,제휴몰,계좌이체,
O00409,C0333,2023-09-19,앱,계좌이체,
O00410,C0255,2023-08-01,제휴몰,간편결제,
O00411,C0324,2023-11-15,앱,계좌이체,
O00412,C0308,2023-05-09,앱,간편결제,
O00413,C0036,2023-10-17,웹,계좌이체,
O00414,C0244,2023-12-21,웹,간편결제,
O00415,C0070,2023-11-12,웹,간편결제,
O00416,C0170,2023-05-09,웹,카드,SPRING
O00417,C0195,2023-05-05,앱,간편결제,
O00418,C0047,2023-08-25,앱,계좌이체,SPRING
O00419,C0104,2023-10-09,앱,간편결제,SPRING
O00420,C0228,2023-09-10,웹,계좌이체,
O00421,C0091,2023-01-02,웹,계좌이체,
O00422,C0391,2023-03-28,웹,간편결제,SPRING
O00423,C0031,2023-09-17,웹,간편결제,
O00424,C0089,2023-08-02,웹,간편결제,VIP
O00425,C0287,2023-02-06,웹,계좌이체,
O00426,C0236,2023-08-26,웹,카드,
O00427,C0010,2023-02-01,제휴몰,간편결제,
O00428,C0066,2023-09-09,웹,카드,
O00429,C0222,2023-01-08,앱,계좌이체,WELCOME
O00430,C0214,2023-08-15,제휴몰,카드,
O00431,C0163,2023-05-18,앱,간편결제,
O00432,C0362,2023-04-17,웹,계좌이체,
O00433,C0008,2023-05-24,웹,카드,
O00434,C0343,2023-05-12,웹,간편결제,
O00435,C0288,2023-04-12,웹,계좌이체,
O00436,C0267,2023-12-02,앱,카드,VIP
O00437,C0041,2023-06-16,앱,간편결제,
O00438,C0388,2023-11-12,앱,계좌이체,
O00439,C0359,2023-12-21,앱,간편결제,
O00440,C0018,2023-03-26,앱,카드,WELCOME
O00441,C0365,2023-09-14,제휴몰,카드,SPRING
O00442,C0165,2023-10-15,앱,간편결제,
O00443,C0098,2023-12-04,웹,계좌이체,
O00444,C0351,2023-04-15,웹,카드,WELCOME
O00445,C0273,2023-06-01,앱,계좌이체,WELCOME
O00446,C0220,2023-03-14,웹,계좌이체,
O00447,C0158,2023-04-14,웹,계좌이체,WELCOME
O00448,C0262,2023-06-08,제휴몰,계좌이체,
O00449,C0181,2023-08-27,웹,카드,WELCOME
O00450,C0072,2023-09-10,앱,카드,
O00451,C0399,2023-06-25,웹,카드,
O00452,C0264,2023-12-09,앱,계좌이체,
O00453,C0336,2023-06-08,앱,간편결제,WELCOME
O00454,C0148,2023-06-03,앱,계좌이체,
O00455,C0337,2023-09-25,앱,간편결제,VIP
O00456,C0026,2023-04-13,앱,간편결제,
O00457,C0389,2023-10-12,제휴몰,카드,VIP
O00458,C0149,2023-09-05,웹,카드,WELCOME
O00459,C0145,2023-01-02,제휴몰,카드,
O00460,C0347,2023-01-04,앱,계좌이체,
O00461,C0126,2023-09-10,웹,간편결제,
O00462,C0119,2023-09-12,웹,카드,
O00463,C0171,2023-12-13,웹,카드,
O00464,C0011,2023-06-27,앱,카드,
O00465,C0057,2023-04-16,앱,카드,
O00466,C0120,2023-12-01,웹,계좌이체,
O00467,C0376,2023-02-02,제휴몰,카드,
O00468,C0345,2023-10-12,웹,계좌이체,WELCOME
O00469,C0226,2023-04-08,앱,카드,
O00470,C0281,2023-10-03,웹,간편결제,
O00471,C0361,2023-01-19,앱,간편결제,
O00472,C0143,2023-11-24,웹,간편결제,
O00473,C0071,2023-02-22,앱,간편결제,
O00474,C0327,2023-01-02,제휴몰,카드,WELCOME
O00475,C0377,2023-04-19,웹,계좌이체,
O00476,C0381,2023-08-24,웹,계좌이체,
O00477,C0290,2023-11-15,앱,카드,
O00478,C0322,2023-09-18,제휴몰,간편결제,
O00479,C0095,2023-10-24,앱,계좌이체,WELCOME
O00480,C0147,2023-09-04,앱,간편결제,
O00481,C0363,2023-01-27,앱,간편결제,WELCOME
O00482,C0214,2023-10-20,웹,계좌이체,
O00483,C0326,2023-05-07,웹,카드,WELCOME
O00484,C0205,2023-08-01,앱,카드,
O00485,C0237,2023-04-18,앱,계좌이체,
O00486,C0297,2023-11-09,앱,간편결제,
O00487,C0326,2023-04-08,앱,계좌이체,
O00488,C0360,2023-05-17,웹,카드,
O00489,C0191,2023-02-25,앱,카드,SPRING
O00490,C0070,2023-05-06,제휴몰,간편결제,
O00491,C0367,2023-02-12,앱,계좌이체,
O00492,C0061,2023-05-26,웹,카드,
O00493,C0188,2023-12-04,앱,카드,
O00494,C0093,2023-09-01,제휴몰,간편결제,WELCOME
O00495,C0363,2023-05-15,웹,카드,
O00496,C0153,2023-04-04,웹,카드,
O00497,C0246,2023-03-06,웹,간편결제,
O00498,C0189,2023-01-11,웹,간편결제,
O00499,C0358,2023-08-12,앱,계좌이체,SPRING
O00500,C0021,2023-03-19,웹,카드,SPRING
O00501,C0105,2023-06-08,앱,계좌이체,SPRING
O00502,C0136,2023-11-23,앱,카드,
O00503,C0337,2023-12-04,웹,계좌이체,VIP
O00504,C0192,2023-06-25,웹,계좌이체,
O00505,C0217,2023-12-19,웹,계좌이체,
O00506,C0358,2023-04-02,웹,간편결제,
O00507,C0213,2023-12-04,앱,카드,
O00508,C0161,2023-02-07,웹,계좌이체,
O00509,C0241,2023-02-23,웹,계좌이체,
O00510,C0086,2023-03-11,앱,카드,
O00511,C0195,2023-08-13,웹,카드,
O00512,C0036,2023-04-21,웹,카드,
O00513,C0177,2023-05-23,웹,간편결제,
O00514,C0202,2023-05-08,앱,계좌이체,
O00515,C0273,2023-09-21,웹,카드,SPRING
O00516,C0256,2023-12-07,웹,계좌이체,SPRING
O00517,C0067,2023-12-01,앱,간편결제,
O00518,C0234,2023-01-01,앱,간편결제,
O00519,C0275,2023-03-16,제휴몰,간편결제,
O00520,C0017,2023-10-27,웹,계좌이체,
O00521,C0109,2023-02-16,앱,간편결제,
O00522,C0102,2023-05-13,앱,계좌이체,
O00523,C0092,2023-08-10,앱,카드,
O00524,C0152,2023-04-22,앱,간편결제,
O00525,C0399,2023-10-04,웹,간편결제,WELCOME
O00526,C0292,2023-11-08,앱,간편결제,
O00527,C0384,2023-11-07,웹,간편결제,
O00528,C0373,2023-06-17,웹,간편결제,WELCOME
O00529,C0259,2023-11-08,제휴몰,계좌이체,WELCOME
O00530,C0140,2023-03-23,앱,계좌이체,
O00531,C0056,2023-04-11,웹,계좌이체,
O00532,C0318,2023-08-25,웹,카드,WELCOME
O00533,C0239,2023-05-28,웹,카드,WELCOME
O00534,C0025,2023-01-16,앱,카드,SPRING
O00535,C0268,2023-03-17,웹,카드,SPRING
O00536,C0228,2023-03-19,앱,계좌이체,
O00537,C0163,2023-02-16,웹,계좌이체,WELCOME
O00538,C0125,2023-11-12,웹,간편결제,SPRING
O00539,C0119,2023-08-10,웹,간편결제,
O00540,C0131,2023-11-02,웹,간편결제,SPRING
O00541,C0323,2023-10-13,앱,간편결제,
O00542,C0099,2023-06-07,앱,간편결제,
O00543,C0226,2023-04-02,웹,카드,
O00544,C0242,2023-08-15,웹,카드,
O00545,C0296,2023-02-05,제휴몰,카드,WELCOME
O00546,C0321,2023-06-09,웹,카드,
O00547,C0356,2023-10-17,웹,계좌이체,WELCOME
O00548,C0243,2023-03-02,앱,카드,VIP
O00549,C0036,2023-01-27,앱,계좌이체,
O00550,C0251,2023-12-23,앱,카드,
O00551,C0271,2023-05-02,앱,간편결제,SPRING
O00552,C0069,2023-06-20,앱,카드,
O00553,C0175,2023-03-03,웹,계좌이체,WELCOME
O00554,C0096,2023-11-06,웹,간편결제,
O00555,C0292,2023-12-12,웹,카드,
O00556,C0064,2023-06-06,앱,계좌이체,
