member_id,year_month,visit_count,pt_session_count,avg_stay_min
M0022,2024-12,13,0,55.2
M0023,2024-07,5,0,74.6
M0023,2024-08,12,0,63.3
M0023,2024-09,14,2,54.0
M0023,2024-10,7,3,60.0
M0023,2024-11,7,0,64.9
M0023,2024-12,7,0,48.9
M0024,2024-10,11,2,53.4
M0024,2024-11,13,0,56.5
M0024,2024-12,5,1,56.5
M0025,2024-01,5,0,38.0
M0025,2024-02,5,0,45.5
M0025,2024-03,9,0,62.9
M0025,2024-04,7,0,66.9
M0025,2024-05,15,0,80.5
M0025,2024-06,8,2,61.0
M0025,2024-07,6,0,50.1
M0025,2024-08,6,0,71.7
M0025,2024-09,11,0,31.7
M0025,2024-10,5,0,55.0
M0025,2024-11,8,1,87.8
M0025,2024-12,7,0,67.7
M0026,2024-03,9,0,50.6
M0026,2024-04,11,0,53.6
M0026,2024-05,9,0,53.7
M0026,2024-06,9,1,43.3
M0026,2024-07,16,5,40.9
M0026,2024-08,8,0,59.5
M0026,2024-09,11,0,50.9
M0026,2024-10,4,2,63.7
M0026,2024-11,10,1,76.6
M0026,2024-12,8,0,74.8
M0027,2024-08,6,0,70.5
M0027,2024-09,11,0,61.3
M0027,2024-10,11,4,53.6
M0027,2024-11,11,0,70.3
M0027,2024-12,9,1,75.3
M0028,2024-05,6,0,21.7
M0028,2024-06,9,0,54.7
M0028,2024-07,5,4,74.4
M0028,2024-08,5,0,81.2
M0028,2024-09,1,0,81.9
M0029,2024-03,5,0,39.6
M0029,2024-04,7,0,43.3
M0029,2024-05,6,2,48.9
M0029,2024-06,10,0,67.5
M0029,2024-07,4,2,67.3
M0029,2024-08,4,0,66.1
M0029,2024-09,9,0,63.3
M0029,2024-10,15,0,49.0
M0029,2024-11,14,0,76.6
M0029,2024-12,6,0,66.0
M0030,2024-04,11,0,66.9
M0030,2024-05,18,0,53.6
M0030,2024-06,14,0,64.3
M0030,2024-07,8,0,60.8
M0030,2024-08,5,0,76.9
M0030,2024-09,8,1,76.7
M0030,2024-10,9,0,37.2
M0030,2024-11,3,0,52.6
M0030,2024-12,11,0,71.4
M0031,2024-01,11,0,58.9
M0031,2024-02,9,0,52.8
M0031,2024-03,4,0,85.0
M0031,2024-04,10,0,58.0
M0031,2024-05,9,0,77.2
M0031,2024-06,10,0,47.1
M0031,2024-07,6,0,87.3
M0031,2024-08,16,2,86.4
M0031,2024-09,7,1,55.2
M0031,2024-10,4,0,71.1
M0031,2024-11,5,0,57.3
M0031,2024-12,6,0,57.2
M0032,2024-01,7,0,63.1
M0032,2024-02,5,0,62.3
M0032,2024-03,6,1,67.9
M0032,2024-04,9,0,51.4
M0032,2024-05,11,0,73.0
M0032,2024-06,13,0,55.6
M0032,2024-07,6,0,53.6
M0032,2024-08,7,0,84.4
M0032,2024-09,5,0,56.0
M0032,2024-10,2,0,63.1
M0033,2024-02,10,0,38.8
M0033,2024-03,6,0,63.5
M0033,2024-04,3,0,54.6
M0033,2024-05,9,0,39.8
M0033,2024-06,9,0,50.8
M0033,2024-07,12,0,70.6
M0033,2024-08,10,0,68.5
M0033,2024-09,14,3,57.1
M0033,2024-10,15,1,43.7
M0033,2024-11,16,0,48.9
M0033,2024-12,8,0,92.4
M0034,2024-03,9,0,67.5
M0034,2024-04,11,0,81.0
M0034,2024-05,4,0,72.6
M0034,2024-06,8,0,94.1
M0034,2024-07,12,0,73.4
M0034,2024-08,10,0,49.1
M0034,2024-09,7,3,77.5
M0034,2024-10,7,0,42.2
M0034,2024-11,3,0,56.7
M0034,2024-12,2,3,93.8
M0035,2024-04,13,0,63.6
M0035,2024-05,11,2,63.3
M0035,2024-06,9,0,88.2
M0035,2024-07,13,0,59.5
M0035,2024-08,6,0,68.6
M0035,2024-09,5,2,42.0
M0035,2024-10,6,0,62.7
M0035,2024-11,14,0,56.5
M0035,2024-12,11,0,52.9
M0036,2024-07,8,0,52.8
M0036,2024-08,7,0,69.8
M0036,2024-09,8,0,65.7
M0036,2024-10,8,0,79.2
M0036,2024-11,13,0,57.6
M0036,2024-12,12,0,53.5
M0037,2024-05,8,0,81.7
M0037,2024-06,8,1,59.3
M0037,2024-07,11,1,43.5
M0037,2024-08,12,0,56.6
M0037,2024-09,13,2,52.4
M0037,2024-10,6,0,34.1
M0037,2024-11,9,0,65.2
M0037,2024-12,7,0,38.5
M0038,2024-01,7,0,64.8
M0038,2024-02,9,0,65.6
M0038,2024-03,7,0,44.5
M0038,2024-04,13,0,80.4
M0038,2024-05,7,0,80.3
M0038,2024-06,6,0,82.2
M0038,2024-07,10,0,33.0
M0038,2024-08,11,0,59.6
M0038,2024-09,7,0,62.4
M0038,2024-10,14,2,53.5
M0038,2024-11,6,0,34.0
M0038,2024-12,12,0,55.8
M0039,2024-01,10,0,70.1
M0039,2024-02,2,0,60.9
M0039,2024-03,3,0,78.5
M0040,2024-04,15,0,55.3
M0040,2024-05,8,0,52.9
M0040,2024-06,12,0,58.7
M0040,2024-07,13,0,55.3
M0040,2024-08,7,1,46.6
M0040,2024-09,3,0,56.6
M0040,2024-10,3,0,48.2
M0041,2024-03,8,0,75.7
M0041,2024-04,5,0,71.1
M0041,2024-05,10,1,89.0
M0041,2024-06,3,0,52.0
M0041,2024-07,4,0,66.2
M0042,2024-05,5,0,48.6
M0042,2024-06,8,0,62.0
M0042,2024-07,10,2,71.2
M0042,2024-08,13,1,97.4
M0042,2024-09,8,0,73.0
M0042,2024-10,9,0,59.3
M0042,2024-11,3,0,49.2
M0042,2024-12,2,0,94.0
M0043,2024-02,9,0,56.5
M0043,2024-03,8,0,65.8
M0043,2024-04,2,2,62.0
M0043,2024-05,3,0,68.7
M0043,2024-06,4,0,51.9
M0043,2024-07,13,1,55.1
M0043,2024-08,6,0,70.4
M0043,2024-09,5,0,49.6
M0043,2024-10,5,1,64.8
M0043,2024-11,7,1,63.4
M0043,2024-12,9,2,36.2
M0044,2024-03,8,0,70.8
M0044,2024-04,13,0,71.6
M0044,2024-05,12,0,60.5
M0044,2024-06,6,0,62.8
M0044,2024-07,9,1,49.4
M0044,2024-08,14,0,44.5
M0044,2024-09,4,0,79.6
M0044,2024-10,6,0,72.2
M0044,2024-11,12,0,98.1
M0044,2024-12,10,0,68.6
M0045,2024-10,7,0,53.9
M0045,2024-11,10,0,60.6
M0045,2024-12,9,0,28.7
M0046,2024-04,8,0,77.6
M0046,2024-05,5,0,76.1
M0046,2024-06,17,0,62.4
M0046,2024-07,8,0,73.6
M0046,2024-08,8,1,76.5
M0046,2024-09,14,0,50.1
M0046,2024-10,11,0,57.7
M0046,2024-11,10,0,68.6
M0046,2024-12,6,0,53.7
M0047,2024-10,11,0,59.4
M0047,2024-11,2,0,53.0
M0047,2024-12,3,0,71.2
M0048,2024-07,7,0,77.2
M0048,2024-08,10,0,52.6
M0048,2024-09,9,0,43.1
M0048,2024-10,6,2,68.9
M0048,2024-11,9,0,61.6
M0048,2024-12,18,0,61.0
M0049,2024-03,13,0,52.6
M0049,2024-04,11,0,52.8
M0049,2024-05,7,0,69.1
M0049,2024-06,12,0,52.4
M0049,2024-07,16,0,52.7
M0049,2024-08,9,2,85.5
M0049,2024-09,8,0,65.0
M0049,2024-10,14,0,47.0
M0049,2024-11,8,0,58.8
M0049,2024-12,9,2,55.9
M0050,2024-05,7,2,70.1
M0050,2024-06,10,0,37.9
M0050,2024-07,6,2,61.0
M0050,2024-08,10,0,81.0
M0050,2024-09,13,0,65.0
M0050,2024-10,8,1,53.2
M0050,2024-11,9,0,49.4
M0050,2024-12,10,1,67.4
M0051,2024-04,9,0,74.4
M0051,2024-05,9,0,59.2
M0051,2024-06,8,0,60.5
M0051,2024-07,9,1,53.1
M0051,2024-08,10,0,60.2
M0051,2024-09,4,0,42.9
M0051,2024-10,11,0,80.2
M0051,2024-11,9,0,57.5
M0051,2024-12,5,0,54.9
M0052,2024-03,10,0,46.5
M0052,2024-04,11,0,55.1
M0052,2024-05,6,3,60.1
M0052,2024-06,14,0,50.7
M0052,2024-07,9,0,59.7
M0052,2024-08,8,0,55.4
M0052,2024-09,9,0,53.5
M0052,2024-10,7,0,57.0
M0052,2024-11,6,0,32.1
M0052,2024-12,9,0,61.6
M0053,2024-04,7,0,59.9
M0053,2024-05,6,1,52.4
M0053,2024-06,11,1,65.6
M0053,2024-07,4,0,64.3
M0053,2024-08,6,2,51.1
M0053,2024-09,7,0,76.7
M0053,2024-10,11,1,54.0
M0053,2024-11,10,0,74.9
M0053,2024-12,10,0,72.3
M0054,2024-04,12,0,28.3
M0054,2024-05,9,1,79.9
M0054,2024-06,10,0,65.6
M0054,2024-07,9,1,49.5
M0054,2024-08,10,0,70.9
M0054,2024-09,6,0,31.6
M0054,2024-10,10,0,61.2
M0054,2024-11,12,4,46.2
M0054,2024-12,8,0,58.5
M0055,2024-09,7,0,59.1
M0055,2024-10,11,0,50.2
M0055,2024-11,12,0,62.9
M0055,2024-12,5,0,39.4
M0056,2024-03,11,0,76.8
M0056,2024-04,9,0,60.5
M0056,2024-05,6,1,48.4
M0056,2024-06,13,0,67.9
M0056,2024-07,16,0,44.1
M0056,2024-08,10,0,62.7
M0056,2024-09,11,2,47.6
M0056,2024-10,11,0,52.0
M0056,2024-11,11,0,53.4
M0056,2024-12,10,0,56.7
M0057,2024-06,12,0,53.3
M0057,2024-07,6,0,61.5
M0057,2024-08,6,0,51.8
M0057,2024-09,5,0,63.0
M0057,2024-10,6,0,48.2
M0057,2024-11,9,1,72.5
M0057,2024-12,7,0,85.9
M0058,2024-05,10,0,49.3
M0058,2024-06,10,0,53.6
M0058,2024-07,11,1,22.9
M0058,2024-08,12,0,61.4
M0058,2024-09,17,0,60.9
M0058,2024-10,6,0,70.5
M0058,2024-11,3,0,60.3
M0058,2024-12,3,0,51.2
M0059,2024-01,13,1,69.6
M0059,2024-02,8,1,55.8
M0059,2024-03,6,0,49.8
M0059,2024-04,13,0,80.0
M0059,2024-05,9,0,63.7
M0059,2024-06,2,0,36.7
M0059,2024-07,3,0,56.7
M0060,2024-10,12,4,79.5
M0060,2024-11,7,0,64.4
M0060,2024-12,13,0,47.0
M0061,2024-02,17,0,45.5
M0061,2024-03,10,0,77.0
M0061,2024-04,7,0,80.8
M0061,2024-05,7,2,47.0
M0061,2024-06,6,0,47.1
M0061,2024-07,10,0,45.2
M0061,2024-08,7,0,54.3
M0061,2024-09,6,0,58.4
M0061,2024-10,7,1,90.7
M0061,2024-11,12,0,74.0
M0061,2024-12,8,0,58.5
M0062,2024-02,7,0,75.4
M0062,2024-03,9,2,60.5
M0062,2024-04,6,0,56.8
M0062,2024-05,10,0,87.6
M0062,2024-06,2,0,94.8
M0062,2024-07,3,0,64.7
M0063,2024-09,11,0,84.2
M0063,2024-10,5,0,51.1
M0063,2024-11,2,0,72.5
M0063,2024-12,3,0,84.2
M0064,2024-05,8,0,61.4
M0064,2024-06,8,0,66.7
M0064,2024-07,7,2,50.9
M0064,2024-08,6,0,56.9
M0064,2024-09,12,0,39.5
M0064,2024-10,14,0,55.6
M0064,2024-11,8,0,55.9
M0064,2024-12,9,0,80.9
M0065,2024-04,7,0,70.0
M0065,2024-05,6,0,64.3
M0065,2024-06,9,1,57.0
M0065,2024-07,7,2,42.3
M0065,2024-08,3,0,38.5
M0065,2024-09,2,0,68.5
M0066,2024-01,9,0,70.3
M0066,2024-02,8,0,84.2
M0066,2024-03,12,0,55.6
M0066,2024-04,1,0,53.0
M0066,2024-05,5,0,66.4
M0066,2024-06,12,0,76.7
M0066,2024-07,9,0,67.4
M0066,2024-08,12,2,56.2
M0066,2024-09,11,1,52.5
M0066,2024-10,7,0,54.3
M0066,2024-11,10,0,64.3
M0066,2024-12,10,0,83.2
M0067,2024-09,12,0,37.9
M0067,2024-10,9,0,46.9
M0067,2024-11,3,0,54.2
M0067,2024-12,2,0,56.0
M0068,2024-03,6,3,75.1
M0068,2024-04,8,0,69.2
M0068,2024-05,9,2,52.7
M0068,2024-06,5,0,76.9
M0068,2024-07,7,0,82.3
M0068,2024-08,6,1,77.3
M0068,2024-09,14,0,51.1
M0068,2024-10,7,0,57.9
M0068,2024-11,12,0,97.2
M0068,2024-12,8,0,56.9
M0069,2024-01,6,2,65.2
M0069,2024-02,12,0,41.2
M0069,2024-03,13,3,50.1
M0069,2024-04,7,4,42.1
M0069,2024-05,2,0,40.8
M0069,2024-06,2,0,55.8
M0070,2024-08,2,1,71.4
M0070,2024-09,10,0,44.2
M0070,2024-10,9,0,56.8
M0070,2024-11,10,0,66.4
M0070,2024-12,10,0,73.4
M0071,2024-04,6,0,72.0
M0071,2024-05,5,0,60.9
M0071,2024-06,9,1,76.3
M0071,2024-07,11,0,50.8
M0071,2024-08,6,0,85.6
M0071,2024-09,6,0,59.7
M0071,2024-10,14,0,56.6
M0071,2024-11,9,0,44.0
M0071,2024-12,11,0,92.7
M0072,2024-05,10,0,72.6
M0072,2024-06,14,0,25.9
M0072,2024-07,3,0,43.8
M0072,2024-08,3,0,54.7
M0073,2024-04,11,0,71.9
M0073,2024-05,10,0,40.2
M0073,2024-06,4,0,79.0
M0073,2024-07,6,1,70.5
M0073,2024-08,9,1,60.8
M0073,2024-09,7,0,51.3
M0073,2024-10,7,0,56.4
M0073,2024-11,11,0,42.9
M0073,2024-12,9,0,72.5
M0074,2024-09,8,0,73.8
M0074,2024-10,6,0,58.1
M0074,2024-11,2,0,54.6
M0074,2024-12,2,0,63.6
M0075,2024-02,10,1,49.3
M0075,2024-03,10,0,71.4
M0075,2024-04,13,0,69.3
M0075,2024-05,10,0,62.4
M0075,2024-06,11,1,47.6
M0075,2024-07,6,1,75.8
M0075,2024-08,9,0,49.8
M0075,2024-09,14,0,37.8
M0075,2024-10,3,0,42.3
M0075,2024-11,9,3,62.1
M0075,2024-12,10,0,69.5
M0076,2024-02,6,0,46.0
M0076,2024-03,10,1,52.6
M0076,2024-04,9,4,70.1
M0076,2024-05,21,0,82.8
M0076,2024-06,7,0,84.8
M0076,2024-07,16,0,98.1
M0076,2024-08,9,1,80.5
M0076,2024-09,5,0,73.2
M0076,2024-10,12,1,65.3
M0076,2024-11,7,0,31.7
M0076,2024-12,12,0,56.3
M0077,2024-09,9,0,59.7
M0077,2024-10,12,2,68.0
M0077,2024-11,10,1,63.1
M0077,2024-12,7,0,36.4
M0078,2024-03,10,0,65.9
M0078,2024-04,9,0,68.3
M0078,2024-05,9,0,37.8
M0078,2024-06,7,0,65.0
M0078,2024-07,10,1,47.1
M0078,2024-08,9,0,66.1
M0078,2024-09,10,0,67.0
M0078,2024-10,12,0,80.4
M0078,2024-11,9,0,66.9
M0078,2024-12,9,2,42.4
M0079,2024-05,4,1,46.5
M0079,2024-06,6,0,66.5
M0079,2024-07,10,0,71.6
M0079,2024-08,5,0,73.5
M0079,2024-09,11,0,43.2
M0079,2024-10,6,0,65.0
M0079,2024-11,3,0,52.1
M0079,2024-12,2,1,43.6
M0080,2024-01,4,0,81.3
M0080,2024-02,11,0,55.8
M0080,2024-03,8,0,40.9
M0080,2024-04,5,1,63.2
M0080,2024-05,10,0,67.0
M0080,2024-06,9,0,58.9
M0080,2024-07,11,0,68.2
M0080,2024-08,19,0,73.1
M0080,2024-09,7,0,59.8
M0080,2024-10,11,0,32.5
M0080,2024-11,6,1,74.3
M0080,2024-12,10,0,57.9
M0081,2024-04,7,0,64.6
M0081,2024-05,7,1,41.8
M0081,2024-06,9,0,79.4
M0081,2024-07,8,0,75.7
M0081,2024-08,13,1,67.8
M0081,2024-09,10,0,45.3
M0081,2024-10,13,0,47.0
M0081,2024-11,8,3,64.5
M0081,2024-12,11,0,44.9
M0082,2024-05,5,0,45.7
M0082,2024-06,9,0,64.5
M0082,2024-07,5,2,56.0
M0082,2024-08,12,0,65.1
M0082,2024-09,7,0,88.0
M0082,2024-10,14,0,50.6
M0082,2024-11,11,0,45.5
M0082,2024-12,10,1,44.4
M0083,2024-08,15,3,45.0
M0083,2024-09,8,2,66.2
M0083,2024-10,7,0,62.5
M0083,2024-11,3,0,59.4
M0083,2024-12,2,2,100.6
M0084,2024-06,9,0,72.3
M0084,2024-07,7,0,55.2
M0084,2024-08,9,2,89.3
M0084,2024-09,8,0,90.8
M0084,2024-10,3,0,79.0
M0084,2024-11,4,0,64.6
M0085,2024-06,8,0,83.7
M0085,2024-07,6,2,34.1
M0085,2024-08,9,0,65.1
M0085,2024-09,9,0,59.8
M0085,2024-10,12,0,96.4
M0085,2024-11,2,0,67.3
M0085,2024-12,5,0,49.2
M0086,2024-01,9,0,81.3
M0086,2024-02,7,0,39.9
M0086,2024-03,6,0,59.1
M0086,2024-04,7,0,33.7
M0086,2024-05,14,0,85.5
M0086,2024-06,5,0,74.3
M0086,2024-07,9,1,56.9
M0086,2024-08,9,2,80.9
M0086,2024-09,5,1,82.6
M0086,2024-10,10,0,48.8
M0086,2024-11,4,0,51.0
M0086,2024-12,11,0,82.0
M0087,2024-07,14,0,68.8
M0087,2024-08,6,0,52.7
M0087,2024-09,12,1,44.8
M0087,2024-10,8,0,63.8
M0087,2024-11,3,0,75.3
M0087,2024-12,3,0,75.4
M0088,2024-10,10,0,45.2
M0088,2024-11,13,2,52.3
M0088,2024-12,8,0,50.1
M0089,2024-06,7,1,61.1
M0089,2024-07,13,0,49.7
M0089,2024-08,8,0,66.3
M0089,2024-09,16,2,52.7
M0089,2024-10,4,2,67.7
M0089,2024-11,6,3,70.0
M0089,2024-12,8,0,71.5
M0090,2024-02,10,0,46.7
M0090,2024-03,7,1,48.8
M0090,2024-04,13,3,84.3
M0090,2024-05,9,0,71.5
M0090,2024-06,9,0,67.0
M0090,2024-07,10,2,78.6
M0090,2024-08,7,0,73.9
M0090,2024-09,9,0,66.5
M0090,2024-10,14,0,76.9
M0090,2024-11,8,0,67.2
M0090,2024-12,7,1,60.1
M0091,2024-01,8,1,71.4
M0091,2024-02,8,0,65.1
M0091,2024-03,11,1,56.4
M0091,2024-04,5,0,77.0
M0091,2024-05,13,3,70.7
M0091,2024-06,7,0,73.4
M0091,2024-07,9,0,27.8
M0091,2024-08,10,0,67.4
M0091,2024-09,11,0,46.3
M0091,2024-10,7,2,69.8
M0091,2024-11,15,0,57.8
M0091,2024-12,7,0,65.4
M0092,2024-09,8,0,67.1
M0092,2024-10,6,0,57.4
M0092,2024-11,8,0,45.7
M0092,2024-12,12,0,68.0
M0093,2024-02,7,1,61.8
M0093,2024-03,6,0,63.4
M0093,2024-04,8,0,72.5
M0093,2024-05,12,0,85.7
M0093,2024-06,6,0,75.1
M0093,2024-07,6,0,73.0
M0093,2024-08,7,2,71.9
M0093,2024-09,13,0,82.9
M0093,2024-10,4,2,70.4
M0093,2024-11,9,0,69.1
M0093,2024-12,10,0,58.7
M0094,2024-09,6,2,44.9
M0094,2024-10,8,1,74.7
M0094,2024-11,12,0,71.9
M0094,2024-12,11,0,53.6
M0095,2024-04,4,1,65.5
M0095,2024-05,8,0,51.7
M0095,2024-06,11,0,68.7
M0095,2024-07,5,0,78.2
M0095,2024-08,9,1,83.7
M0095,2024-09,11,0,48.3
M0095,2024-10,6,3,79.5
M0095,2024-11,14,0,63.7
M0095,2024-12,11,0,68.1
M0096,2024-02,7,0,64.3
M0096,2024-03,4,0,40.7
M0096,2024-04,4,0,48.8
M0097,2024-05,11,1,73.7
M0097,2024-06,1,1,55.2
M0097,2024-07,3,0,60.5
M0098,2024-02,9,2,69.2
M0098,2024-03,2,0,73.3
M0098,2024-04,14,0,69.0
M0098,2024-05,7,0,74.3
M0098,2024-06,9,0,51.9
M0098,2024-07,4,0,70.8
M0098,2024-08,3,0,47.2
M0098,2024-09,9,0,50.1
M0098,2024-10,10,0,68.2
M0098,2024-11,11,0,77.0
M0098,2024-12,13,0,55.2
M0099,2024-05,9,0,72.5
M0099,2024-06,12,1,55.7
M0099,2024-07,11,0,81.7
M0099,2024-08,10,0,79.2
M0099,2024-09,5,3,87.5
M0099,2024-10,11,0,58.2
M0099,2024-11,9,0,55.2
M0099,2024-12,3,0,55.5
M0100,2024-01,11,0,74.0
M0100,2024-02,8,0,83.5
M0100,2024-03,3,0,68.9
M0100,2024-04,9,0,70.1
M0100,2024-05,4,0,32.0
M0100,2024-06,10,0,79.6
M0100,2024-07,4,3,93.8
M0100,2024-08,8,3,74.9
M0100,2024-09,8,3,58.9
M0100,2024-10,6,2,42.6
M0100,2024-11,9,3,70.5
M0100,2024-12,11,1,80.4
M0101,2024-05,9,0,60.5
M0101,2024-06,9,2,61.1
M0101,2024-07,7,0,35.4
M0101,2024-08,9,0,81.5
M0101,2024-09,12,0,58.9
M0101,2024-10,6,2,76.3
M0101,2024-11,6,0,56.1
M0101,2024-12,8,0,44.4
M0102,2024-03,10,0,52.6
M0102,2024-04,9,0,39.2
M0102,2024-05,9,0,50.5
M0102,2024-06,11,1,37.3
M0102,2024-07,6,0,80.5
M0102,2024-08,8,0,57.1
M0102,2024-09,7,1,51.9
M0102,2024-10,11,0,50.9
M0102,2024-11,9,0,71.3
M0102,2024-12,8,0,59.1
M0103,2024-05,11,0,78.8
M0103,2024-06,4,0,62.0
M0103,2024-07,11,0,43.9
M0103,2024-08,11,0,48.6
M0103,2024-09,8,0,63.9
M0103,2024-10,6,3,52.3
M0103,2024-11,7,0,76.2
M0103,2024-12,7,0,47.7
M0104,2024-09,5,0,52.2
M0104,2024-10,16,2,72.0
M0104,2024-11,7,0,65.6
M0104,2024-12,12,0,58.0
M0105,2024-03,9,0,87.4
M0105,2024-04,11,0,59.4
M0105,2024-05,7,0,85.1
M0105,2024-06,9,1,75.6
M0105,2024-07,8,0,43.9
M0105,2024-08,12,0,73.4
M0105,2024-09,12,0,52.6
M0105,2024-10,3,1,59.5
M0105,2024-11,1,0,53.1
M0106,2024-09,5,0,66.7
M0106,2024-10,10,0,62.9
M0106,2024-11,5,0,36.0
M0106,2024-12,13,0,60.4
M0107,2024-04,8,0,58.3
M0107,2024-05,6,0,50.3
M0107,2024-06,14,0,82.8
M0107,2024-07,6,2,52.6
M0107,2024-08,13,1,63.3
