applicant_id,department,gender,experience_years,test_score,interview_round,hired
A0084,개발,남,8.2,77.1,2,0
A0010,개발,남,7.8,91.4,3,1
A1096,마케팅,여,4.4,59.1,1,0
A0054,개발,남,3.6,62.3,3,1
A0926,마케팅,남,3.3,75.6,3,0
A0337,개발,여,7.2,81.5,2,1
A0253,개발,남,6.1,74.5,1,1
A1017,마케팅,여,6.5,73.7,1,1
A0566,영업,여,6.9,64.8,3,0
A0786,디자인,여,4.2,57.1,3,0
A0263,개발,남,5.2,63.7,2,1
A0782,디자인,여,7.9,71.9,2,0
A0834,디자인,여,8.7,89.6,3,0
A0832,디자인,여,2.3,68.9,2,0
A0643,디자인,남,3.9,51.0,1,0
A0879,디자인,여,0.0,70.2,1,1
A0173,개발,남,6.8,82.4,3,1
A0279,개발,남,3.3,53.3,2,1
A1091,마케팅,여,6.9,49.1,2,0
A0552,영업,여,5.3,73.9,2,1
A0206,개발,남,2.2,77.4,3,1
A1021,마케팅,여,5.7,60.7,2,0
A0531,영업,남,3.1,73.8,3,0
A0611,디자인,남,5.3,71.8,3,0
A0055,개발,남,2.7,68.4,1,1
A0780,디자인,여,7.3,68.7,2,1
A0362,영업,남,5.3,62.6,1,0
A0624,디자인,남,5.3,86.8,1,0
A0858,디자인,여,6.4,63.0,2,0
A1089,마케팅,여,10.3,72.9,3,0
A1013,마케팅,여,5.8,82.3,2,0
A0147,개발,남,7.2,89.6,3,1
A0921,마케팅,남,5.9,59.7,2,0
A0171,개발,남,6.1,78.5,3,1
A0041,개발,남,0.9,69.7,1,1
A0535,영업,남,5.5,66.4,1,0
A0501,영업,남,2.8,81.0,1,1
A0419,영업,남,9.2,67.4,3,0
A0232,개발,남,0.0,64.4,2,1
A0102,개발,남,2.7,64.9,1,1
A0490,영업,남,0.0,71.7,2,1
A0427,영업,남,4.8,67.7,1,1
A0327,개발,여,0.0,64.2,1,1
A0474,영업,남,9.1,78.7,1,1
A0791,디자인,여,7.9,68.6,2,0
A0098,개발,남,2.6,72.4,1,1
A0628,디자인,남,4.0,47.5,3,0
A0570,영업,여,1.7,64.5,2,0
A0949,마케팅,남,7.1,72.5,1,0
A0749,디자인,여,0.0,65.8,3,0
A1039,마케팅,여,5.8,68.6,3,1
A0901,마케팅,남,5.2,66.6,1,0
A1082,마케팅,여,4.9,75.1,3,0
A0598,영업,여,4.7,55.4,3,1
A0557,영업,여,3.3,72.4,3,0
A0698,디자인,여,6.1,69.0,1,1
A0755,디자인,여,0.1,75.1,2,1
A0541,영업,남,6.0,70.7,3,0
A0887,디자인,여,2.3,53.8,2,0
A0987,마케팅,여,2.2,83.3,3,1
A0971,마케팅,여,1.1,74.5,1,1
A0951,마케팅,여,6.8,71.1,1,0
A0180,개발,남,1.9,59.6,2,1
A1070,마케팅,여,5.5,63.9,3,0
A1117,마케팅,여,3.6,58.5,1,0
A0668,디자인,여,3.1,37.4,3,0
A0499,영업,남,4.9,68.1,2,1
A0859,디자인,여,4.3,67.8,1,1
A0665,디자인,여,7.6,86.4,2,1
A1174,마케팅,여,5.8,62.5,3,1
A0512,영업,남,7.1,66.5,2,1
A0018,개발,남,5.6,72.7,2,1
A0604,디자인,남,6.7,74.9,2,0
A0254,개발,남,7.1,83.6,1,0
A0416,영업,남,2.4,87.4,3,1
A0740,디자인,여,3.2,57.5,1,0
A0510,영업,남,1.0,51.6,2,1
A0508,영업,남,2.4,70.0,2,0
A0688,디자인,여,5.4,56.7,3,0
A0286,개발,남,1.0,65.4,3,0
A0356,영업,남,5.3,91.2,3,1
A0793,디자인,여,10.1,77.7,2,0
A0452,영업,남,5.9,74.4,1,1
A0587,영업,여,2.5,55.2,3,1
A0709,디자인,여,8.3,73.7,3,0
A0326,개발,여,3.9,85.1,3,1
A0109,개발,남,0.6,67.3,3,1
A1018,마케팅,여,3.2,51.6,1,0
A1053,마케팅,여,1.8,64.2,1,0
A0956,마케팅,여,6.9,59.0,2,0
A0100,개발,남,4.1,65.6,1,0
A1183,마케팅,여,1.8,55.0,1,1
A0205,개발,남,7.1,82.1,3,1
A0680,디자인,여,2.8,70.3,2,0
A1055,마케팅,여,5.7,57.0,2,0
A0852,디자인,여,8.3,76.2,1,0
A0734,디자인,여,4.4,71.1,1,0
A1200,마케팅,여,1.8,64.0,3,0
A1051,마케팅,여,9.6,76.5,2,0
A0856,디자인,여,4.7,70.7,1,0
A0965,마케팅,여,3.6,84.9,1,0
A1179,마케팅,여,1.7,59.4,2,0
A0264,개발,남,3.2,52.8,3,0
A0964,마케팅,여,5.4,72.4,3,1
A0285,개발,남,1.8,57.4,3,0
A0024,개발,남,3.1,60.7,2,0
A0833,디자인,여,0.0,70.2,3,0
A0229,개발,남,1.6,79.6,3,1
A0666,디자인,여,6.4,60.4,3,0
A0938,마케팅,남,7.1,80.1,1,0
A0870,디자인,여,3.0,86.5,1,1
A0265,개발,남,5.8,69.1,2,0
A0124,개발,남,3.5,67.3,3,1
A1119,마케팅,여,5.3,74.2,2,0
A1084,마케팅,여,2.2,79.4,2,0
A1071,마케팅,여,6.5,70.1,1,0
A0650,디자인,남,5.2,70.8,3,0
A0271,개발,남,3.7,56.9,1,1
A0507,영업,남,6.3,91.1,2,1
A0721,디자인,여,4.5,72.1,3,0
A0453,영업,남,6.0,66.1,3,0
A0801,디자인,여,9.4,60.9,1,0
A0071,개발,남,0.5,62.7,2,1
A0526,영업,남,3.1,62.5,3,0
A0397,영업,남,5.7,63.1,3,0
A0172,개발,남,4.5,73.4,2,1
A1199,마케팅,여,5.8,88.8,3,1
A0169,개발,남,3.0,66.9,2,0
A0549,영업,남,3.1,63.7,2,1
A0306,개발,여,4.1,79.0,3,0
A0632,디자인,남,7.7,77.8,3,0
A0126,개발,남,6.0,70.1,3,1
A0846,디자인,여,2.8,55.9,2,0
A0284,개발,남,4.6,63.7,2,1
A0165,개발,남,6.6,82.4,1,1
A0767,디자인,여,2.7,60.2,2,1
A0493,영업,남,4.3,54.8,3,0
A0808,디자인,여,1.2,63.6,1,1
A0043,개발,남,2.3,49.1,2,1
A0752,디자인,여,1.9,75.7,3,0
A0880,디자인,여,3.3,52.6,1,0
A0410,영업,남,8.0,80.0,3,0
A0133,개발,남,2.9,71.8,3,1
A1139,마케팅,여,8.6,76.4,2,0
A0509,영업,남,9.7,73.8,1,1
A0039,개발,남,5.1,83.6,3,1
A1057,마케팅,여,1.4,55.2,2,0
A0564,영업,여,6.3,85.1,3,1
A0572,영업,여,7.1,62.6,3,1
A0935,마케팅,남,6.0,80.1,2,1
A0891,디자인,여,3.3,59.3,3,0
A0878,디자인,여,4.1,79.0,1,1
A0871,디자인,여,5.0,66.9,2,0
A0014,개발,남,4.9,80.2,2,1
A0167,개발,남,1.2,59.9,1,1
A0519,영업,남,0.9,78.5,2,1
A0225,개발,남,6.3,66.0,2,1
A0307,개발,여,8.8,75.7,2,1
A0876,디자인,여,2.2,68.9,2,0
A0352,영업,남,7.3,75.0,3,1
A0373,영업,남,3.8,68.3,2,1
A1020,마케팅,여,3.1,66.1,1,0
A0021,개발,남,1.7,58.9,1,0
A1161,마케팅,여,4.7,56.3,2,1
A0072,개발,남,11.4,84.2,2,1
A0559,영업,여,4.7,70.3,3,1
A0364,영업,남,8.4,43.8,1,0
A0061,개발,남,4.9,59.4,3,0
A0351,영업,남,6.2,82.9,1,1
A0111,개발,남,0.2,59.0,2,1
A0005,개발,남,3.5,79.9,2,1
A0309,개발,여,9.9,72.3,2,1
A0610,디자인,남,3.5,66.9,1,0
A0837,디자인,여,3.4,61.5,2,1
A0345,개발,여,7.5,81.2,2,1
A1121,마케팅,여,6.7,68.5,1,0
A0290,개발,남,6.0,64.7,2,1
A0479,영업,남,6.0,80.4,3,1
A0386,영업,남,3.4,70.9,3,1
A0774,디자인,여,4.3,83.0,3,1
A1059,마케팅,여,5.1,64.9,1,0
A1034,마케팅,여,5.5,69.2,3,0
A0892,디자인,여,2.4,64.9,3,0
A0095,개발,남,4.6,68.9,2,1
A0096,개발,남,7.8,54.4,3,0
A0954,마케팅,여,2.3,65.6,3,0
A1134,마케팅,여,3.9,68.2,1,1
A0667,디자인,여,7.2,64.3,1,0
A0732,디자인,여,0.4,71.8,1,1
A0893,디자인,여,0.8,57.6,2,0
A0485,영업,남,1.2,61.9,3,1
A1154,마케팅,여,2.6,54.4,2,0
A0059,개발,남,0.0,64.7,1,0
A0208,개발,남,5.2,63.8,1,0
A0409,영업,남,9.4,71.1,3,0
A0380,영업,남,3.0,67.3,1,0
A0413,영업,남,4.6,71.9,1,0
A0025,개발,남,6.7,59.7,3,1
A1010,마케팅,여,7.0,67.2,2,0
A0245,개발,남,3.1,66.9,3,1
A0026,개발,남,4.1,66.3,3,0
A0223,개발,남,8.1,78.2,3,1
A0884,디자인,여,1.5,73.3,3,1
A1006,마케팅,여,0.5,68.0,2,0
A1067,마케팅,여,5.9,51.6,1,0
A0131,개발,남,2.2,69.9,1,1
A0154,개발,남,0.2,46.2,2,0
A1024,마케팅,여,1.4,59.8,1,0
A0930,마케팅,남,3.1,50.8,3,0
A0494,영업,남,6.2,66.0,3,0
A1050,마케팅,여,5.4,65.1,3,0
A0076,개발,남,7.5,83.1,3,1
A0902,마케팅,남,6.0,71.2,3,0
A1052,마케팅,여,5.0,64.2,2,0
A0317,개발,여,5.1,81.3,2,1
A0963,마케팅,여,6.4,62.6,2,0
A0942,마케팅,남,3.3,60.0,2,0
A0634,디자인,남,4.4,72.4,2,0
A0200,개발,남,5.1,70.0,3,0
A1015,마케팅,여,3.1,62.8,3,0
A0135,개발,남,4.1,67.7,3,1
A0627,디자인,남,0.3,75.4,2,0
A0260,개발,남,2.0,57.9,1,1
A0591,영업,여,5.3,69.4,1,1
A0004,개발,남,3.7,69.6,1,1
A0960,마케팅,여,7.0,88.4,3,1
A0504,영업,남,6.7,70.2,1,1
A0197,개발,남,10.0,65.7,1,1
A0657,디자인,여,5.3,87.3,1,1
A0569,영업,여,1.8,53.1,2,0
A0027,개발,남,3.2,72.3,3,1
A1104,마케팅,여,9.8,77.1,3,1
A0456,영업,남,2.3,70.7,3,1
A1111,마케팅,여,4.6,61.4,1,0
A0619,디자인,남,3.2,53.3,2,0
A0062,개발,남,6.8,66.1,1,1
A1130,마케팅,여,7.7,70.5,3,0
A0994,마케팅,여,1.4,53.1,3,0
A0658,디자인,여,0.3,60.3,3,0
A0725,디자인,여,7.8,75.0,1,0
A0745,디자인,여,10.1,69.1,2,0
A0686,디자인,여,1.6,62.3,1,1
A0378,영업,남,2.4,85.6,3,0
A1014,마케팅,여,2.2,51.5,3,0
A0432,영업,남,3.0,58.3,3,1
A0849,디자인,여,5.8,64.8,1,0
A0009,개발,남,5.7,79.6,2,1
A0489,영업,남,4.2,76.6,3,1
A0586,영업,여,9.1,84.0,2,1
A1025,마케팅,여,1.3,67.6,2,0
A1146,마케팅,여,1.2,58.8,1,0
A0741,디자인,여,4.2,66.6,2,1
A0789,디자인,여,1.8,56.3,2,0
A0446,영업,남,3.4,73.3,1,1
A0075,개발,남,2.1,44.4,3,0
A0542,영업,남,4.0,90.2,3,1
A0058,개발,남,6.2,74.9,3,0
A1114,마케팅,여,5.6,60.3,3,0
A0735,디자인,여,3.0,59.2,3,0
A0298,개발,남,8.5,64.6,2,1
A0844,디자인,여,5.3,86.9,2,0
A0218,개발,남,4.2,63.4,1,1
A0704,디자인,여,3.3,74.9,3,1
A0645,디자인,남,5.2,84.5,3,1
A0421,영업,남,3.8,75.1,2,1
A0359,영업,남,1.7,80.1,2,1
A1185,마케팅,여,2.5,70.3,1,0
A1194,마케팅,여,5.5,86.1,1,0
A0523,영업,남,2.3,59.5,1,1
A0678,디자인,여,9.4,64.2,2,0
A0820,디자인,여,8.5,57.3,2,0
A1061,마케팅,여,7.4,73.4,2,1
A0267,개발,남,8.5,71.2,3,1
A0007,개발,남,5.3,81.2,3,1
A0518,영업,남,3.0,54.5,1,0
A0794,디자인,여,2.3,66.2,2,0
A0753,디자인,여,10.5,76.1,3,0
A0139,개발,남,7.0,64.8,3,1
A0164,개발,남,9.3,73.1,2,0
A0707,디자인,여,2.6,57.8,1,0
A0527,영업,남,0.6,50.0,3,0
A1054,마케팅,여,6.7,60.8,1,0
A0044,개발,남,9.0,86.5,1,1
A0739,디자인,여,7.7,92.9,2,1
A0726,디자인,여,5.8,60.5,2,0
A0320,개발,여,5.0,64.9,1,1
A0770,디자인,여,5.0,57.7,3,0
A1163,마케팅,여,9.7,79.0,3,0
A0719,디자인,여,6.5,68.2,3,0
A0295,개발,남,8.1,60.7,2,0
A1136,마케팅,여,4.4,62.4,3,0
A1004,마케팅,여,3.8,60.3,3,0
A1038,마케팅,여,8.0,63.1,3,0
A0455,영업,남,2.8,56.9,2,0
A0020,개발,남,1.7,64.7,3,1
A0983,마케팅,여,5.4,67.4,3,0
A0563,영업,여,6.7,72.6,2,1
A0940,마케팅,남,5.7,71.9,1,0
A0713,디자인,여,6.1,68.2,1,0
A1103,마케팅,여,6.2,56.7,1,0
A0511,영업,남,1.7,76.4,2,1
A0431,영업,남,5.4,69.2,3,1
A0138,개발,남,8.1,81.9,1,1
A0797,디자인,여,7.6,75.5,2,0
A0186,개발,남,5.1,70.2,1,1
A0928,마케팅,남,4.6,75.7,2,0
A0398,영업,남,2.2,58.5,2,1
A1138,마케팅,여,3.0,65.7,2,0
A0390,영업,남,2.5,71.1,1,0
A1128,마케팅,여,8.2,73.2,3,0
A0663,디자인,여,8.4,72.0,3,0
A0328,개발,여,3.1,49.3,3,0
A0318,개발,여,0.7,58.5,1,0
A0805,디자인,여,3.8,64.5,1,1
A1156,마케팅,여,4.2,64.1,2,0
A0514,영업,남,0.0,56.6,1,1
A0705,디자인,여,6.2,67.8,3,0
A0769,디자인,여,6.4,63.1,2,1
A0433,영업,남,5.3,76.2,2,0
A0529,영업,남,5.4,70.6,3,0
A0756,디자인,여,4.3,72.3,1,0
A0149,개발,남,4.3,69.0,1,0
A0448,영업,남,8.3,72.8,1,1
A0923,마케팅,남,8.3,68.3,1,0
A0737,디자인,여,3.8,67.2,3,0
A0946,마케팅,남,3.8,56.9,3,0
A0366,영업,남,6.6,95.2,1,1
A0618,디자인,남,5.1,60.6,3,0
A0612,디자인,남,2.5,57.8,1,0
A0790,디자인,여,3.1,88.5,1,0
A1140,마케팅,여,5.7,77.6,1,1
A1076,마케팅,여,2.2,62.3,2,0
A0524,영업,남,3.8,70.8,2,1
A0233,개발,남,4.9,50.1,2,0
A0592,영업,여,3.3,80.0,2,1
A0817,디자인,여,1.3,70.5,1,0
A0447,영업,남,2.2,69.0,2,1
A0159,개발,남,3.6,81.0,3,1
A0316,개발,여,4.2,56.5,1,1
A0257,개발,남,6.6,82.4,1,1
A1019,마케팅,여,5.8,80.4,1,1
A0097,개발,남,2.7,66.9,2,0
A1170,마케팅,여,3.2,74.8,1,0
A1035,마케팅,여,12.8,75.2,1,0
A0385,영업,남,1.1,67.3,2,1
A1047,마케팅,여,5.1,62.8,2,0
A0178,개발,남,2.4,79.5,2,0
A0329,개발,여,0.5,46.5,3,0
A0315,개발,여,1.4,74.8,1,1
A0358,영업,남,5.6,51.2,2,0
A0348,개발,여,4.9,58.5,3,0
A0464,영업,남,0.0,63.9,2,1
A0299,개발,남,1.9,65.0,3,0
A0814,디자인,여,4.4,65.2,1,0
A0836,디자인,여,1.7,51.0,1,0
A0759,디자인,여,5.3,82.5,1,1
A0681,디자인,여,3.3,39.4,1,0
A0784,디자인,여,2.3,68.6,1,0
A0636,디자인,남,5.4,67.0,3,1
A0250,개발,남,2.3,73.0,3,1
A0772,디자인,여,5.1,59.2,2,0
A0016,개발,남,5.4,80.6,2,0
A0160,개발,남,3.5,68.8,3,1
A0702,디자인,여,1.7,49.0,2,0
A0588,영업,여,1.9,62.7,2,0
A0361,영업,남,0.4,63.5,1,0
A0049,개발,남,0.0,68.3,3,1
A0633,디자인,남,4.0,42.7,3,0
A0331,개발,여,3.3,60.4,1,1
A1098,마케팅,여,3.7,58.2,2,0
A0468,영업,남,5.4,39.6,2,0
A0113,개발,남,3.6,69.1,1,0
A0339,개발,여,0.0,64.2,3,1
A0308,개발,여,7.3,73.3,3,0
A0907,마케팅,남,4.8,72.0,1,0
A0423,영업,남,4.3,87.3,2,1
A0999,마케팅,여,1.9,55.8,1,1
A0981,마케팅,여,3.7,70.9,2,0
A0484,영업,남,5.4,83.6,2,1
A0761,디자인,여,4.2,72.6,3,0
A0821,디자인,여,0.9,49.7,3,0
A0622,디자인,남,8.4,60.1,3,0
A0396,영업,남,4.4,73.1,2,1
A0881,디자인,여,8.1,73.6,2,0
A0886,디자인,여,6.0,69.6,1,0
A0128,개발,남,3.9,54.1,2,1
A0651,디자인,여,6.9,74.4,2,1
A1109,마케팅,여,5.3,81.2,3,1
A0656,디자인,여,3.7,57.8,1,1
A0579,영업,여,9.1,50.7,1,0
A0450,영업,남,6.4,79.6,2,1
A0238,개발,남,2.2,70.7,2,1
A0168,개발,남,5.1,61.2,3,0
A0993,마케팅,여,4.2,60.8,2,0
A1042,마케팅,여,7.0,47.9,2,0
A0081,개발,남,0.4,59.6,3,1
A0415,영업,남,3.4,46.9,2,0
A0931,마케팅,남,0.6,63.5,3,0
A0301,개발,여,1.2,76.7,2,1
A0620,디자인,남,4.3,76.2,3,0
A0325,개발,여,2.8,78.5,1,1
A0472,영업,남,3.2,71.4,3,1
A0216,개발,남,2.8,59.7,2,0
A0599,영업,여,9.6,85.9,1,1
A0031,개발,남,3.5,67.5,2,1
A0243,개발,남,4.7,77.8,3,1
A0703,디자인,여,6.1,79.3,1,0
A0913,마케팅,남,2.7,61.2,1,1
A0961,마케팅,여,4.0,63.8,2,0
A0210,개발,남,3.1,55.0,3,1
A0548,영업,남,2.0,61.8,2,1
A0748,디자인,여,3.2,60.0,3,0
A0919,마케팅,남,2.8,64.7,2,0
A0436,영업,남,3.1,77.7,3,0
A0028,개발,남,4.3,54.3,1,1
A1064,마케팅,여,6.1,77.3,2,0
A1153,마케팅,여,4.1,60.8,3,0
A0123,개발,남,2.8,71.4,2,1
A1090,마케팅,여,6.9,61.7,1,0
A0463,영업,남,5.5,66.0,3,1
A1032,마케팅,여,1.3,61.0,1,0
A1122,마케팅,여,4.2,63.6,2,0
A0644,디자인,남,8.6,87.1,3,1
A0937,마케팅,남,3.2,72.4,3,1
A0738,디자인,여,5.5,69.7,3,1
A0747,디자인,여,8.5,59.7,3,0
A0505,영업,남,6.2,77.8,2,1
A0203,개발,남,7.3,76.6,2,1
A0404,영업,남,0.7,65.1,3,1
A0565,영업,여,7.8,75.5,2,1
A1184,마케팅,여,10.7,69.6,1,1
A0363,영업,남,4.3,53.7,3,0
A0272,개발,남,6.6,79.1,1,0
A0467,영업,남,6.2,71.4,3,1
A1102,마케팅,여,5.7,77.6,1,0
A1065,마케팅,여,7.1,71.8,2,0
A1095,마케팅,여,3.3,70.2,2,0
A0273,개발,남,6.5,69.6,1,0
A0278,개발,남,6.6,88.9,3,1
A1063,마케팅,여,7.8,77.5,3,1
A0013,개발,남,0.0,56.6,2,1
A0603,디자인,남,4.2,70.2,3,0
A0674,디자인,여,2.6,60.5,2,0
A0211,개발,남,8.2,78.7,1,1
A1074,마케팅,여,2.7,55.2,3,0
A0962,마케팅,여,2.6,73.2,3,1
A0148,개발,남,4.3,67.3,2,0
A0443,영업,남,5.8,58.8,2,1
A0300,개발,남,6.8,62.4,1,0
A0116,개발,남,5.2,56.6,2,0
A0376,영업,남,4.7,65.3,2,1
A0641,디자인,남,2.8,73.6,2,0
A1172,마케팅,여,1.8,70.0,3,0
A0675,디자인,여,3.9,74.0,3,0
A0473,영업,남,4.8,56.0,2,0
A0659,디자인,여,6.0,54.5,1,0
A1083,마케팅,여,2.8,60.0,2,1
A0389,영업,남,4.7,74.6,3,0
A0023,개발,남,8.6,62.5,2,1
A0910,마케팅,남,2.1,82.7,1,0
A0873,디자인,여,0.0,70.3,2,1
A0424,영업,남,4.7,60.9,2,0
A0948,마케팅,남,5.5,79.2,2,0
A0869,디자인,여,5.2,75.5,2,1
A0649,디자인,남,0.7,52.4,1,0
A1198,마케팅,여,0.9,60.1,3,0
A0143,개발,남,6.8,84.3,3,1
A0051,개발,남,5.4,41.3,3,0
A0672,디자인,여,1.9,55.7,2,1
A0733,디자인,여,4.6,76.7,3,0
A0082,개발,남,4.4,72.9,1,1
A0483,영업,남,5.7,66.9,3,0
A0322,개발,여,8.0,84.8,3,1
A0958,마케팅,여,1.4,49.3,1,0
A0816,디자인,여,5.3,70.0,2,0
A1142,마케팅,여,4.4,82.9,3,1
A0067,개발,남,6.5,69.7,3,1
A0917,마케팅,남,5.4,78.0,3,0
A0899,디자인,여,9.5,77.9,3,0
A0744,디자인,여,0.9,56.5,2,0
A0418,영업,남,4.7,62.5,1,1
A0715,디자인,여,2.1,61.5,2,0
A0065,개발,남,3.8,82.1,3,1
A0903,마케팅,남,3.9,73.3,1,0
A0894,디자인,여,5.5,54.2,3,0
A0701,디자인,여,4.4,63.1,1,0
A0492,영업,남,4.5,63.3,3,1
A0706,디자인,여,7.5,82.2,3,0
A0796,디자인,여,3.0,75.1,3,0
A0066,개발,남,6.8,80.5,1,1
A0978,마케팅,여,1.4,57.6,1,0
A0573,영업,여,0.9,45.1,2,1
A0968,마케팅,여,3.9,61.7,2,0
A0297,개발,남,8.4,67.8,2,1
A0420,영업,남,4.2,55.6,3,1
A0439,영업,남,3.5,60.0,3,0
A0262,개발,남,7.6,84.8,2,1
A0699,디자인,여,0.0,53.2,2,0
A0282,개발,남,6.3,84.1,1,0
A0795,디자인,여,4.0,70.7,2,0
A1158,마케팅,여,5.0,63.2,2,0
A0189,개발,남,5.6,79.7,3,1
A0889,디자인,여,9.8,84.4,3,1
A0252,개발,남,7.0,71.5,1,1
A0700,디자인,여,4.7,86.9,2,1
A0515,영업,남,4.1,67.1,3,0
A0596,영업,여,5.2,69.8,3,1
A0488,영업,남,1.4,62.9,2,1
A0274,개발,남,5.5,49.6,2,0
A0953,마케팅,여,5.1,72.8,1,1
A1077,마케팅,여,10.7,91.6,2,1
A0449,영업,남,4.8,73.3,2,1
A0412,영업,남,6.5,63.7,2,0
A1075,마케팅,여,3.4,69.8,2,0
A0723,디자인,여,6.2,78.2,1,0
A0927,마케팅,남,5.2,60.6,3,0
A1168,마케팅,여,7.6,60.2,2,0
A0150,개발,남,7.8,67.9,1,1
A0219,개발,남,2.6,42.1,2,0
A0240,개발,남,4.1,55.8,1,1
A1092,마케팅,여,5.1,72.5,1,0
A0193,개발,남,3.7,70.0,1,1
A0192,개발,남,4.7,78.3,1,1
A0692,디자인,여,5.7,50.1,3,1
A0661,디자인,여,4.1,91.6,3,1
A0929,마케팅,남,3.7,58.1,2,0
A1116,마케팅,여,3.0,52.9,2,1
A0883,디자인,여,6.9,75.7,1,0
A0934,마케팅,남,6.6,67.8,1,0
A0714,디자인,여,4.0,76.0,3,1
A0583,영업,여,4.9,62.1,1,0
A1016,마케팅,여,2.6,59.9,1,0
A0324,개발,여,3.7,78.3,3,0
A0925,마케팅,남,2.7,63.6,1,0
A0857,디자인,여,0.0,52.4,1,0
A0664,디자인,여,3.8,71.1,1,0
A0438,영업,남,4.3,67.1,3,1
A0895,디자인,여,2.0,66.1,3,0
A0840,디자인,여,4.4,75.0,3,0
A0342,개발,여,8.4,71.2,1,0
A0003,개발,남,4.8,74.3,3,1
A0230,개발,남,9.5,86.0,3,1
A0652,디자인,여,4.9,64.2,3,0
A1157,마케팅,여,6.2,49.9,2,0
A0077,개발,남,2.0,77.6,2,1
A1107,마케팅,여,0.8,69.7,3,0
A0372,영업,남,6.6,87.0,2,1
A0181,개발,남,2.7,68.0,3,1
A0717,디자인,여,5.4,70.6,3,0
A0578,영업,여,4.4,80.4,2,1
A1147,마케팅,여,3.7,69.0,3,0
A0991,마케팅,여,3.9,76.2,1,1
A1026,마케팅,여,6.2,68.2,1,0
A1011,마케팅,여,6.4,62.8,2,0
A0653,디자인,여,4.8,62.8,1,0
A0590,영업,여,7.7,75.8,2,0
A0778,디자인,여,8.7,50.4,2,0
A0819,디자인,여,5.9,71.4,1,0
A0966,마케팅,여,8.0,76.7,2,0
A0890,디자인,여,6.1,59.6,3,0
A0038,개발,남,6.0,79.3,1,1
A0354,영업,남,1.6,58.9,2,1
A1099,마케팅,여,4.7,66.5,2,1
A0237,개발,남,9.6,66.1,3,1
A0936,마케팅,남,0.2,69.9,1,1
A0500,영업,남,3.0,59.2,2,1
A0554,영업,여,4.9,77.7,1,0
A0056,개발,남,0.3,69.7,1,1
A0303,개발,여,2.6,62.8,1,1
A0287,개발,남,4.5,74.6,1,1
A0975,마케팅,여,6.9,76.6,1,0
A0220,개발,남,6.6,54.0,1,1
A0642,디자인,남,8.1,66.0,3,1
A0388,영업,남,4.4,70.1,2,1
A0743,디자인,여,3.1,65.7,1,1
A0391,영업,남,1.3,77.6,1,1
A0353,영업,남,5.0,61.8,1,0
A0194,개발,남,5.2,67.7,2,1
A0236,개발,남,3.5,78.1,1,1
A0997,마케팅,여,5.6,81.4,2,1
